QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 28
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-6-6_13:17:16.841915,100339,0.013,0.010,0.009,-1.041,1717651036.842,311.574,-204.532,-93.973,1717651036.838,311.565,-204.541,-92.932,1.000
2024-6-6_13:17:16.851926,100339,0.016,0.009,0.012,-1.056,1717651036.852,311.574,-204.525,-94.043,1717651036.843,311.565,-204.537,-92.986,1.000
2024-6-6_13:17:16.854075,100339,0.017,0.010,0.014,-1.080,1717651036.854,311.574,-204.523,-94.066,1717651036.843,311.565,-204.537,-92.986,2.000
2024-6-6_13:17:16.861895,100339,0.021,0.008,0.019,-1.046,1717651036.862,311.573,-204.518,-94.033,1717651036.843,311.565,-204.537,-92.986,1.000
2024-6-6_13:17:16.871889,100339,0.029,0.010,0.027,-1.216,1717651036.872,311.575,-204.510,-94.203,1717651036.843,311.565,-204.537,-92.986,1.000
2024-6-6_13:17:16.874060,100339,0.013,0.011,-0.006,-0.980,1717651036.874,311.575,-204.508,-94.227,1717651036.873,311.563,-204.502,-93.247,2.000
2024-6-6_13:17:16.894054,100339,0.013,0.012,-0.006,-0.991,1717651036.894,311.576,-204.493,-94.456,1717651036.893,311.564,-204.486,-93.465,2.000
2024-6-6_13:17:16.914023,100339,0.013,0.012,-0.006,-0.998,1717651036.914,311.577,-204.477,-94.682,1717651036.913,311.566,-204.471,-93.684,2.000
2024-6-6_13:17:16.933993,100339,0.013,0.012,-0.006,-1.002,1717651036.934,311.579,-204.462,-94.909,1717651036.933,311.567,-204.455,-93.907,2.000
2024-6-6_13:17:16.954102,100339,0.013,0.013,0.001,-1.119,1717651036.954,311.580,-204.446,-95.137,1717651036.943,311.567,-204.448,-94.018,2.000
2024-6-6_13:17:16.974032,100339,0.014,0.014,-0.002,-1.115,1717651036.974,311.581,-204.431,-95.363,1717651036.973,311.568,-204.429,-94.248,2.000
2024-6-6_13:17:16.994085,100339,0.014,0.014,-0.002,-1.133,1717651036.994,311.583,-204.415,-95.590,1717651036.993,311.569,-204.414,-94.456,2.000
2024-6-6_13:17:17.014059,100339,0.015,0.014,-0.002,-1.142,1717651037.014,311.584,-204.400,-95.817,1717651037.013,311.570,-204.398,-94.675,2.000
2024-6-6_13:17:17.034021,100339,0.015,0.015,-0.002,-1.145,1717651037.034,311.586,-204.385,-96.044,1717651037.033,311.572,-204.383,-94.900,2.000
2024-6-6_13:17:17.054136,100339,0.015,0.015,0.002,-1.203,1717651037.054,311.588,-204.369,-96.273,1717651037.048,311.573,-204.371,-95.070,2.000
2024-6-6_13:17:17.074067,100339,0.017,0.017,0.000,-1.171,1717651037.074,311.590,-204.354,-96.499,1717651037.073,311.572,-204.354,-95.329,2.000
2024-6-6_13:17:17.094037,100339,0.018,0.018,0.000,-1.179,1717651037.094,311.591,-204.338,-96.726,1717651037.093,311.574,-204.338,-95.547,2.000
2024-6-6_13:17:17.114087,100339,0.018,0.018,0.000,-1.178,1717651037.114,311.593,-204.322,-96.941,1717651037.113,311.575,-204.323,-95.763,2.000
2024-6-6_13:17:17.134128,100339,0.019,0.019,0.000,-1.187,1717651037.134,311.595,-204.307,-97.156,1717651037.133,311.577,-204.307,-95.969,2.000
2024-6-6_13:17:17.154081,100339,0.021,0.020,0.008,-1.288,1717651037.154,311.597,-204.291,-97.357,1717651037.143,311.578,-204.299,-96.069,2.000
2024-6-6_13:17:17.174009,100339,0.021,0.020,0.003,-1.206,1717651037.174,311.599,-204.275,-97.556,1717651037.173,311.579,-204.278,-96.350,2.000
2024-6-6_13:17:17.194026,100339,0.021,0.021,0.003,-1.223,1717651037.194,311.602,-204.259,-97.757,1717651037.193,311.581,-204.262,-96.534,2.000
2024-6-6_13:17:17.214138,100339,0.022,0.021,0.003,-1.223,1717651037.214,311.604,-204.243,-97.940,1717651037.213,311.582,-204.246,-96.717,2.000
2024-6-6_13:17:17.234059,100339,0.022,0.022,0.003,-1.239,1717651037.234,311.606,-204.227,-98.121,1717651037.233,311.584,-204.230,-96.882,2.000
2024-6-6_13:17:17.254054,100339,0.026,0.023,0.011,-1.318,1717651037.254,311.608,-204.211,-98.279,1717651037.243,311.585,-204.222,-96.961,2.000
2024-6-6_13:17:17.274016,100339,0.020,0.019,-0.006,-1.211,1717651037.274,311.611,-204.195,-98.437,1717651037.273,311.592,-204.189,-97.226,2.000
2024-6-6_13:17:17.294035,100339,0.020,0.019,-0.007,-1.216,1717651037.294,311.613,-204.179,-98.595,1717651037.293,311.594,-204.172,-97.380,2.000
2024-6-6_13:17:17.314035,100339,0.020,0.019,-0.007,-1.215,1717651037.314,311.616,-204.163,-98.729,1717651037.313,311.596,-204.156,-97.514,2.000
