QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 48
0 4.24399e-314 -0 0
100106 0 -200.73 0
100107 0 -200.37 0
100109 0 -199.63 0
100110 0 -199.27 0
100119 0 -199.75 0
100137 0 -200.49 0
100158 0 -201.244 0
100159 0 -201.744 0
100160 0 -202.244 0
100161 0 -202.744 0
100162 0 -203.244 0
100163 0 -203.744 0
100164 0 -204.244 0
100165 0 -204.744 0
100166 0 -205.239 0
100167 0 -205.739 0
100168 0 -206.239 0
100169 0 -206.739 0
100170 0 -207.239 0
100171 0 -207.739 0
100172 0 -208.239 0
100174 0 -208.739 0
100176 0 -209.239 0
100177 0 -209.739 0
100178 0 -210.239 0
100179 0 -210.739 0
100180 0 -211.239 0
100182 0 -211.739 0
100183 0 -212.239 0
100184 0 -212.739 0
100185 0 -213.239 0
100186 0 -213.739 0
100187 0 -217.729 0
100188 0 -218.229 0
100189 0 -218.739 0
100190 0 -219.239 0
100191 0 -219.739 0
100192 0 -220.239 0
100193 0 -220.739 0
100194 0 -217.229 0
100195 0 -216.729 0
100196 0 -216.229 0
100197 0 -215.729 0
100198 0 -215.229 0
100199 0 -214.729 0
100200 0 -214.229 0
101989 0 -200.37 180
QRcodeTable Start
qrcode_table的大小为: 12
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
101989 312.433 -174.81 176.841
101997 5.78054 4.47742 177.193
101999 7.86404 4.70152 177.193
111989 312.429 -174.806 176.467
QRcodeTable Start
/home/zl/work/ep-qrcode-loc/src/ep_qrcode_loc/config/SiteTable.txt打开成功!
/home/zl/work/ep-qrcode-loc/src/ep_qrcode_loc/config/SiteTable.txt读取完毕!
qrcode_table的大小为: 9
101990 7.69248 5.05383 177.193
101991 7.97201 5.93559 177.193
101992 7.82393 5.4685 177.193
101993 8.10346 6.35025 177.193
101994 8.23491 6.76491 177.193
101995 8.38298 7.23201 177.193
101996 8.51443 7.64667 177.193
101997 8.64588 8.06133 177.193
101998 7.56103 4.63917 177.193
MV_SC2005AM Start

 init 

