QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 -90
100101 399.27 -199.63 -90
100102 399.27 -200.37 -90
100103 399.63 -200.73 -90
100104 399.63 -200.37 -90
100105 399.63 -199.63 -90
100106 400.37 -199.27 -90
100107 400.37 -199.63 -90
100109 400.37 -200.37 -90
100110 400.37 -200.73 -90
100111 400.73 -200.37 -90
100114 400.73 -199.63 -90
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:19:4.990796,-nan,-nan,-nan,-nan,1724235544.9908,-nan,-nan,-nan
2024-8-21_18:19:5.287784,0.0000,0.0000,0.0000,0.0000,1724235545.2878,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.290847,0.0001,-0.0001,0.0001,0.0100,1724235545.2908,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.300924,0.0003,-0.0001,-0.0002,-0.0200,1724235545.3009,401.0783,-198.8994,179.0800
2024-8-21_18:19:5.307782,0.0000,0.0000,0.0000,0.0000,1724235545.3078,401.0783,-198.8994,179.0800
2024-8-21_18:19:5.310828,0.0004,0.0000,0.0004,0.0300,1724235545.3108,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.320870,0.0003,0.0001,-0.0002,-0.0200,1724235545.3209,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.327779,0.0000,0.0000,0.0000,0.0000,1724235545.3278,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.330852,0.0001,-0.0001,0.0001,0.0100,1724235545.3309,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.340839,0.0000,0.0000,0.0000,0.0000,1724235545.3408,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.347780,0.0000,0.0000,0.0000,0.0000,1724235545.3478,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.350853,0.0002,-0.0002,0.0000,0.0000,1724235545.3509,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.360832,0.0003,-0.0001,0.0002,0.0200,1724235545.3608,401.0781,-198.8989,179.1200
2024-8-21_18:19:5.367764,0.0000,0.0000,0.0000,0.0000,1724235545.3678,401.0781,-198.8989,179.1200
2024-8-21_18:19:5.370905,0.0002,0.0002,-0.0000,0.0000,1724235545.3709,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.380838,0.0004,0.0002,-0.0004,-0.0300,1724235545.3808,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.387807,0.0000,0.0000,0.0000,0.0000,1724235545.3878,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.390837,0.0003,-0.0003,0.0001,0.0100,1724235545.3908,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.400886,0.0003,0.0003,-0.0001,-0.0100,1724235545.4009,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.408108,0.0000,0.0000,0.0000,0.0000,1724235545.4081,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.410847,0.0001,-0.0001,0.0001,0.0100,1724235545.4108,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.420859,0.0000,0.0000,0.0000,0.0000,1724235545.4209,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.427852,0.0000,0.0000,0.0000,0.0000,1724235545.4279,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.430870,0.0000,0.0000,0.0000,0.0000,1724235545.4309,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.440827,0.0002,-0.0002,0.0000,0.0000,1724235545.4408,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.447678,0.0000,0.0000,0.0000,0.0000,1724235545.4477,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.450828,0.0004,0.0000,0.0004,0.0300,1724235545.4508,401.0782,-198.8988,179.1300
2024-8-21_18:19:5.460855,0.0004,-0.0000,-0.0004,-0.0300,1724235545.4609,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.467571,0.0000,0.0000,0.0000,0.0000,1724235545.4676,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.470851,0.0002,0.0001,0.0001,0.0100,1724235545.4709,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.480856,0.0003,-0.0001,0.0002,0.0200,1724235545.4809,401.0782,-198.8988,179.1300
2024-8-21_18:19:5.487615,0.0000,0.0000,0.0000,0.0000,1724235545.4876,401.0782,-198.8988,179.1300
2024-8-21_18:19:5.490824,0.0003,-0.0001,-0.0002,-0.0200,1724235545.4908,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.500854,0.0001,0.0001,-0.0001,-0.0100,1724235545.5009,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.507634,0.0000,0.0000,0.0000,0.0000,1724235545.5076,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.510850,0.0001,0.0001,-0.0001,-0.0100,1724235545.5109,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.520873,0.0003,-0.0001,0.0002,0.0200,1724235545.5209,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.527738,0.0000,0.0000,0.0000,0.0000,1724235545.5277,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.530829,0.0003,0.0003,-0.0001,-0.0100,1724235545.5308,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.540820,0.0003,-0.0001,0.0002,0.0200,1724235545.5408,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.547702,0.0000,0.0000,0.0000,0.0000,1724235545.5477,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.550839,0.0003,0.0001,-0.0002,-0.0200,1724235545.5508,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.560834,0.0001,-0.0001,0.0001,0.0100,1724235545.5608,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.567693,0.0000,0.0000,0.0000,0.0000,1724235545.5677,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.570852,0.0000,0.0000,0.0000,0.0000,1724235545.5709,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.580864,0.0002,-0.0001,-0.0001,-0.0100,1724235545.5809,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.587681,0.0000,0.0000,0.0000,0.0000,1724235545.5877,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.590826,0.0003,0.0003,-0.0001,-0.0100,1724235545.5908,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.600827,0.0003,0.0001,-0.0002,-0.0200,1724235545.6008,401.0786,-198.8996,179.0700
2024-8-21_18:19:5.607678,0.0000,0.0000,0.0000,0.0000,1724235545.6077,401.0786,-198.8996,179.0700
2024-8-21_18:19:5.610838,0.0003,-0.0001,0.0002,0.0200,1724235545.6108,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.620858,0.0001,-0.0001,0.0001,0.0100,1724235545.6209,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.627615,0.0000,0.0000,0.0000,0.0000,1724235545.6276,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.630854,0.0001,-0.0001,0.0001,0.0100,1724235545.6309,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.640880,0.0000,0.0000,0.0000,0.0000,1724235545.6409,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.647619,0.0000,0.0000,0.0000,0.0000,1724235545.6476,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.650861,0.0001,-0.0001,0.0001,0.0100,1724235545.6509,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.660919,0.0001,0.0001,-0.0001,-0.0100,1724235545.6609,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.667618,0.0000,0.0000,0.0000,0.0000,1724235545.6676,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.670823,0.0001,-0.0001,0.0001,0.0100,1724235545.6708,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.680835,0.0006,0.0003,-0.0005,-0.0400,1724235545.6808,401.0785,-198.8994,179.0800
2024-8-21_18:19:5.687703,0.0000,0.0000,0.0000,0.0000,1724235545.6877,401.0785,-198.8994,179.0800
2024-8-21_18:19:5.690829,0.0004,-0.0002,0.0004,0.0300,1724235545.6908,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.700853,0.0003,-0.0001,-0.0002,-0.0200,1724235545.7009,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.707738,0.0000,0.0000,0.0000,0.0000,1724235545.7077,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.710827,0.0003,-0.0001,0.0002,0.0200,1724235545.7108,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.720831,0.0001,0.0001,-0.0001,-0.0100,1724235545.7208,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.727654,0.0000,0.0000,0.0000,0.0000,1724235545.7277,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.730828,0.0000,0.0000,0.0000,0.0000,1724235545.7308,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.740863,0.0002,0.0002,-0.0000,0.0000,1724235545.7409,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.747687,0.0000,0.0000,0.0000,0.0000,1724235545.7477,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.750854,0.0000,0.0000,0.0000,0.0000,1724235545.7509,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.760894,0.0001,-0.0001,0.0001,0.0100,1724235545.7609,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.767756,0.0000,0.0000,0.0000,0.0000,1724235545.7678,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.770860,0.0001,-0.0001,0.0001,0.0100,1724235545.7709,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.780910,0.0001,0.0001,-0.0001,-0.0100,1724235545.7809,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.787939,0.0000,0.0000,0.0000,0.0000,1724235545.7879,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.790875,0.0001,0.0001,-0.0001,-0.0100,1724235545.7909,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.800880,0.0004,-0.0003,0.0003,0.0200,1724235545.8009,401.0781,-198.8989,179.1200
2024-8-21_18:19:5.808299,0.0000,0.0000,0.0000,0.0000,1724235545.8083,401.0781,-198.8989,179.1200
2024-8-21_18:19:5.810889,0.0003,0.0001,-0.0002,-0.0200,1724235545.8109,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.820903,0.0001,0.0001,-0.0001,-0.0100,1724235545.8209,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.828205,0.0000,0.0000,0.0000,0.0000,1724235545.8282,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.830847,0.0003,-0.0001,0.0002,0.0200,1724235545.8308,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.840846,0.0002,0.0002,-0.0000,0.0000,1724235545.8408,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.847812,0.0000,0.0000,0.0000,0.0000,1724235545.8478,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.850863,0.0001,0.0001,-0.0001,-0.0100,1724235545.8509,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.860857,0.0001,-0.0001,0.0001,0.0100,1724235545.8609,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.867742,0.0000,0.0000,0.0000,0.0000,1724235545.8677,401.0783,-198.8991,179.1100
2024-8-21_18:19:5.870930,0.0001,0.0001,-0.0001,-0.0100,1724235545.8709,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.880893,0.0002,-0.0001,-0.0001,-0.0100,1724235545.8809,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.887699,0.0000,0.0000,0.0000,0.0000,1724235545.8877,401.0783,-198.8993,179.0900
2024-8-21_18:19:5.890862,0.0001,-0.0001,0.0001,0.0100,1724235545.8909,401.0782,-198.8992,179.1000
2024-8-21_18:19:5.900824,0.0001,-0.0001,0.0001,0.0100,1724235545.9008,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.907741,0.0000,0.0000,0.0000,0.0000,1724235545.9077,401.0781,-198.8991,179.1100
2024-8-21_18:19:5.910854,0.0003,0.0003,-0.0001,-0.0100,1724235545.9109,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.920862,0.0003,-0.0001,-0.0002,-0.0200,1724235545.9209,401.0783,-198.8994,179.0800
2024-8-21_18:19:5.927762,0.0000,0.0000,0.0000,0.0000,1724235545.9278,401.0783,-198.8994,179.0800
2024-8-21_18:19:5.930835,0.0007,-0.0003,0.0006,0.0500,1724235545.9308,401.0780,-198.8988,179.1300
2024-8-21_18:19:5.940872,0.0003,0.0003,-0.0001,-0.0100,1724235545.9409,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.947840,0.0000,0.0000,0.0000,0.0000,1724235545.9478,401.0783,-198.8989,179.1200
2024-8-21_18:19:5.950861,0.0003,0.0001,-0.0002,-0.0200,1724235545.9509,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.960836,0.0000,0.0000,0.0000,0.0000,1724235545.9608,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.967771,0.0000,0.0000,0.0000,0.0000,1724235545.9678,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.970833,0.0000,0.0000,0.0000,0.0000,1724235545.9708,401.0784,-198.8992,179.1000
2024-8-21_18:19:5.980860,0.0001,0.0001,-0.0001,-0.0100,1724235545.9809,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.987717,0.0000,0.0000,0.0000,0.0000,1724235545.9877,401.0785,-198.8993,179.0900
2024-8-21_18:19:5.990828,0.0004,-0.0003,0.0003,0.0200,1724235545.9908,401.0781,-198.8991,179.1100
2024-8-21_18:19:6.000851,0.0003,0.0001,-0.0002,-0.0200,1724235546.0009,401.0783,-198.8993,179.0900
2024-8-21_18:19:6.007692,0.0000,0.0000,0.0000,0.0000,1724235546.0077,401.0783,-198.8993,179.0900
2024-8-21_18:19:6.010828,0.0003,-0.0001,0.0002,0.0200,1724235546.0108,401.0781,-198.8991,179.1100
2024-8-21_18:19:6.020829,0.0003,0.0003,-0.0001,-0.0100,1724235546.0208,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.027668,0.0000,0.0000,0.0000,0.0000,1724235546.0277,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.030827,0.0001,-0.0001,0.0001,0.0100,1724235546.0308,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.040832,0.0000,0.0000,0.0000,0.0000,1724235546.0408,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.047760,0.0000,0.0000,0.0000,0.0000,1724235546.0478,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.050806,0.0001,0.0001,-0.0001,-0.0100,1724235546.0508,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.060910,0.0004,-0.0002,0.0004,0.0300,1724235546.0609,401.0782,-198.8988,179.1300
2024-8-21_18:19:6.067639,0.0000,0.0000,0.0000,0.0000,1724235546.0676,401.0782,-198.8988,179.1300
2024-8-21_18:19:6.070825,0.0003,0.0001,-0.0002,-0.0200,1724235546.0708,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.080831,0.0003,-0.0001,-0.0002,-0.0200,1724235546.0808,401.0783,-198.8993,179.0900
2024-8-21_18:19:6.087810,0.0000,0.0000,0.0000,0.0000,1724235546.0878,401.0783,-198.8993,179.0900
2024-8-21_18:19:6.090868,0.0002,0.0002,-0.0000,0.0000,1724235546.0909,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.100879,0.0004,-0.0002,0.0004,0.0300,1724235546.1009,401.0783,-198.8989,179.1200
2024-8-21_18:19:6.108018,0.0000,0.0000,0.0000,0.0000,1724235546.1080,401.0783,-198.8989,179.1200
2024-8-21_18:19:6.110862,0.0003,0.0001,-0.0002,-0.0200,1724235546.1109,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.120873,0.0001,0.0001,-0.0001,-0.0100,1724235546.1209,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.127806,0.0000,0.0000,0.0000,0.0000,1724235546.1278,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.130865,0.0003,-0.0003,0.0001,0.0100,1724235546.1309,401.0782,-198.8992,179.1000
2024-8-21_18:19:6.140832,0.0002,0.0002,-0.0000,0.0000,1724235546.1408,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.147631,0.0000,0.0000,0.0000,0.0000,1724235546.1476,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.150838,0.0001,0.0001,-0.0001,-0.0100,1724235546.1508,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.160923,0.0004,-0.0002,0.0004,0.0300,1724235546.1609,401.0783,-198.8989,179.1200
2024-8-21_18:19:6.167679,0.0000,0.0000,0.0000,0.0000,1724235546.1677,401.0783,-198.8989,179.1200
2024-8-21_18:19:6.170857,0.0003,0.0001,-0.0002,-0.0200,1724235546.1709,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.180879,0.0000,0.0000,0.0000,0.0000,1724235546.1809,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.187606,0.0000,0.0000,0.0000,0.0000,1724235546.1876,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.190852,0.0000,0.0000,0.0000,0.0000,1724235546.1909,401.0784,-198.8992,179.1000
2024-8-21_18:19:6.200883,0.0001,0.0001,-0.0001,-0.0100,1724235546.2009,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.207658,0.0000,0.0000,0.0000,0.0000,1724235546.2077,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.210827,0.0000,0.0000,0.0000,0.0000,1724235546.2108,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.220862,0.0001,0.0001,-0.0001,-0.0100,1724235546.2209,401.0785,-198.8994,179.0800
2024-8-21_18:19:6.227655,0.0000,0.0000,0.0000,0.0000,1724235546.2277,401.0785,-198.8994,179.0800
2024-8-21_18:19:6.230827,0.0007,-0.0005,0.0005,0.0400,1724235546.2308,401.0781,-198.8989,179.1200
2024-8-21_18:19:6.240855,0.0000,0.0000,0.0000,0.0000,1724235546.2409,401.0781,-198.8989,179.1200
2024-8-21_18:19:6.247752,0.0000,0.0000,0.0000,0.0000,1724235546.2478,401.0781,-198.8989,179.1200
