QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 0
100101 399.27 -199.63 0
100102 399.27 -200.37 0
100103 399.63 -200.73 0
100104 399.63 -200.37 0
100105 399.63 -199.63 0
100106 400.37 -199.27 0
100107 400.37 -199.63 0
100109 400.37 -200.37 0
100110 400.37 -200.73 0
100111 400.73 -200.37 0
100114 400.73 -199.63 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:24:46.349611,-nan,-nan,-nan,-nan,1724235886.3496,-nan,-nan,-nan
2024-8-21_18:24:46.647788,0.0000,0.0000,0.0000,0.0000,1724235886.6478,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.649721,0.0003,0.0002,0.0001,-0.0200,1724235886.6497,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.659745,0.0006,-0.0005,-0.0003,0.0400,1724235886.6597,399.9989,-198.5617,-90.8800
2024-8-21_18:24:46.667701,0.0000,0.0000,0.0000,0.0000,1724235886.6677,399.9989,-198.5617,-90.8800
2024-8-21_18:24:46.669712,0.0003,0.0002,-0.0001,-0.0200,1724235886.6697,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.679741,0.0002,0.0000,0.0002,0.0000,1724235886.6797,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.687746,0.0000,0.0000,0.0000,0.0000,1724235886.6877,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.689707,0.0002,-0.0000,-0.0002,0.0000,1724235886.6897,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.699708,0.0002,-0.0001,0.0001,0.0100,1724235886.6997,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.707640,0.0000,0.0000,0.0000,0.0000,1724235886.7076,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.709707,0.0003,0.0002,0.0001,-0.0200,1724235886.7097,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.719746,0.0003,-0.0001,-0.0003,0.0100,1724235886.7197,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.727818,0.0000,0.0000,0.0000,0.0000,1724235886.7278,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.729706,0.0006,0.0004,0.0004,-0.0300,1724235886.7297,399.9996,-198.5614,-90.9300
2024-8-21_18:24:46.739716,0.0001,-0.0001,-0.0001,0.0100,1724235886.7397,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.747685,0.0000,0.0000,0.0000,-0.0000,1724235886.7477,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.749670,0.0001,0.0001,0.0001,-0.0100,1724235886.7497,399.9996,-198.5614,-90.9300
2024-8-21_18:24:46.759710,0.0004,-0.0004,-0.0002,0.0300,1724235886.7597,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.767697,0.0000,0.0000,0.0000,0.0000,1724235886.7677,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.769707,0.0002,-0.0000,-0.0002,0.0000,1724235886.7697,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.779747,0.0002,-0.0001,0.0001,0.0100,1724235886.7797,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.787904,0.0000,0.0000,0.0000,0.0000,1724235886.7879,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.789720,0.0003,0.0002,0.0001,-0.0200,1724235886.7897,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.799737,0.0003,-0.0002,-0.0001,0.0200,1724235886.7997,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.808251,0.0000,0.0000,0.0000,0.0000,1724235886.8083,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.809734,0.0004,0.0004,0.0002,-0.0300,1724235886.8097,399.9994,-198.5615,-90.9200
2024-8-21_18:24:46.819747,0.0003,-0.0002,-0.0001,0.0200,1724235886.8197,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.827821,0.0000,0.0000,0.0000,0.0000,1724235886.8278,399.9992,-198.5616,-90.9000
2024-8-21_18:24:46.829719,0.0001,0.0001,0.0001,-0.0100,1724235886.8297,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.839715,0.0003,-0.0001,-0.0003,0.0100,1724235886.8397,399.9992,-198.5618,-90.9000
