QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 29
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100325 9.925 0.382 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-20_20:28:36.358796,-nan,-nan,-nan,-nan,1724156916.3588,-nan,-nan,-nan
2024-8-20_20:28:36.372349,-nan,-nan,-nan,-nan,1724156916.3723,-nan,-nan,-nan
2024-8-20_20:28:36.392289,-nan,-nan,-nan,-nan,1724156916.3923,-nan,-nan,-nan
2024-8-20_20:28:36.412289,-nan,-nan,-nan,-nan,1724156916.4123,-nan,-nan,-nan
2024-8-20_20:28:36.432312,-nan,-nan,-nan,-nan,1724156916.4323,-nan,-nan,-nan
2024-8-20_20:28:36.452319,-nan,-nan,-nan,-nan,1724156916.4523,-nan,-nan,-nan
2024-8-20_20:28:36.472267,-nan,-nan,-nan,-nan,1724156916.4723,-nan,-nan,-nan
2024-8-20_20:28:36.492410,-nan,-nan,-nan,-nan,1724156916.4924,-nan,-nan,-nan
2024-8-20_20:28:36.512486,-nan,-nan,-nan,-nan,1724156916.5125,-nan,-nan,-nan
2024-8-20_20:28:36.532545,-nan,-nan,-nan,-nan,1724156916.5325,-nan,-nan,-nan
2024-8-20_20:28:36.552473,-nan,-nan,-nan,-nan,1724156916.5525,-nan,-nan,-nan
2024-8-20_20:28:36.572433,-nan,-nan,-nan,-nan,1724156916.5724,-nan,-nan,-nan
2024-8-20_20:28:36.592423,-nan,-nan,-nan,-nan,1724156916.5924,-nan,-nan,-nan
2024-8-20_20:28:36.612432,-nan,-nan,-nan,-nan,1724156916.6124,-nan,-nan,-nan
2024-8-20_20:28:36.632370,-nan,-nan,-nan,-nan,1724156916.6324,-nan,-nan,-nan
2024-8-20_20:28:36.652298,-nan,-nan,-nan,-nan,1724156916.6523,-nan,-nan,-nan
2024-8-20_20:28:36.672263,-nan,-nan,-nan,-nan,1724156916.6723,-nan,-nan,-nan
2024-8-20_20:28:36.692825,-nan,-nan,-nan,-nan,1724156916.6928,-nan,-nan,-nan
2024-8-20_20:28:36.712935,-nan,-nan,-nan,-nan,1724156916.7129,-nan,-nan,-nan
2024-8-20_20:28:36.732595,-nan,-nan,-nan,-nan,1724156916.7326,-nan,-nan,-nan
2024-8-20_20:28:36.752360,-nan,-nan,-nan,-nan,1724156916.7524,-nan,-nan,-nan
2024-8-20_20:28:36.772237,-nan,-nan,-nan,-nan,1724156916.7722,-nan,-nan,-nan
2024-8-20_20:28:36.792263,-nan,-nan,-nan,-nan,1724156916.7923,-nan,-nan,-nan
2024-8-20_20:28:36.812286,-nan,-nan,-nan,-nan,1724156916.8123,-nan,-nan,-nan
2024-8-20_20:28:36.832330,-nan,-nan,-nan,-nan,1724156916.8323,-nan,-nan,-nan
2024-8-20_20:28:36.852324,-nan,-nan,-nan,-nan,1724156916.8523,-nan,-nan,-nan
2024-8-20_20:28:36.872388,-nan,-nan,-nan,-nan,1724156916.8724,-nan,-nan,-nan
2024-8-20_20:28:36.892346,-nan,-nan,-nan,-nan,1724156916.8923,-nan,-nan,-nan
2024-8-20_20:28:36.912297,-nan,-nan,-nan,-nan,1724156916.9123,-nan,-nan,-nan
2024-8-20_20:28:36.932350,-nan,-nan,-nan,-nan,1724156916.9323,-nan,-nan,-nan
2024-8-20_20:28:36.952351,-nan,-nan,-nan,-nan,1724156916.9524,-nan,-nan,-nan
2024-8-20_20:28:36.972398,-nan,-nan,-nan,-nan,1724156916.9724,-nan,-nan,-nan
2024-8-20_20:28:36.992289,-nan,-nan,-nan,-nan,1724156916.9923,-nan,-nan,-nan
2024-8-20_20:28:37.012291,-nan,-nan,-nan,-nan,1724156917.0123,-nan,-nan,-nan
2024-8-20_20:28:37.032290,-nan,-nan,-nan,-nan,1724156917.0323,-nan,-nan,-nan
2024-8-20_20:28:37.052233,-nan,-nan,-nan,-nan,1724156917.0522,-nan,-nan,-nan
2024-8-20_20:28:37.072307,-nan,-nan,-nan,-nan,1724156917.0723,-nan,-nan,-nan
2024-8-20_20:28:37.092640,-nan,-nan,-nan,-nan,1724156917.0926,-nan,-nan,-nan
2024-8-20_20:28:37.112762,-nan,-nan,-nan,-nan,1724156917.1128,-nan,-nan,-nan
2024-8-20_20:28:37.132419,-nan,-nan,-nan,-nan,1724156917.1324,-nan,-nan,-nan
2024-8-20_20:28:37.152426,-nan,-nan,-nan,-nan,1724156917.1524,-nan,-nan,-nan
2024-8-20_20:28:37.172421,-nan,-nan,-nan,-nan,1724156917.1724,-nan,-nan,-nan
2024-8-20_20:28:37.193003,-nan,-nan,-nan,-nan,1724156917.1930,-nan,-nan,-nan
2024-8-20_20:28:37.212814,-nan,-nan,-nan,-nan,1724156917.2128,-nan,-nan,-nan
2024-8-20_20:28:37.232770,-nan,-nan,-nan,-nan,1724156917.2328,-nan,-nan,-nan
2024-8-20_20:28:37.252586,-nan,-nan,-nan,-nan,1724156917.2526,-nan,-nan,-nan
2024-8-20_20:28:37.272349,-nan,-nan,-nan,-nan,1724156917.2723,-nan,-nan,-nan
2024-8-20_20:28:37.292293,-nan,-nan,-nan,-nan,1724156917.2923,-nan,-nan,-nan
2024-8-20_20:28:37.312277,-nan,-nan,-nan,-nan,1724156917.3123,-nan,-nan,-nan
2024-8-20_20:28:37.332410,-nan,-nan,-nan,-nan,1724156917.3324,-nan,-nan,-nan
2024-8-20_20:28:37.352237,-nan,-nan,-nan,-nan,1724156917.3522,-nan,-nan,-nan
2024-8-20_20:28:37.372337,-nan,-nan,-nan,-nan,1724156917.3723,-nan,-nan,-nan
2024-8-20_20:28:37.392417,-nan,-nan,-nan,-nan,1724156917.3924,-nan,-nan,-nan
2024-8-20_20:28:37.412437,-nan,-nan,-nan,-nan,1724156917.4124,-nan,-nan,-nan
2024-8-20_20:28:37.432481,-nan,-nan,-nan,-nan,1724156917.4325,-nan,-nan,-nan
2024-8-20_20:28:37.452364,-nan,-nan,-nan,-nan,1724156917.4524,-nan,-nan,-nan
2024-8-20_20:28:37.472280,-nan,-nan,-nan,-nan,1724156917.4723,-nan,-nan,-nan
2024-8-20_20:28:37.492319,-nan,-nan,-nan,-nan,1724156917.4923,-nan,-nan,-nan
2024-8-20_20:28:37.512387,-nan,-nan,-nan,-nan,1724156917.5124,-nan,-nan,-nan
2024-8-20_20:28:37.532395,-nan,-nan,-nan,-nan,1724156917.5324,-nan,-nan,-nan
2024-8-20_20:28:37.552332,-nan,-nan,-nan,-nan,1724156917.5523,-nan,-nan,-nan
2024-8-20_20:28:37.572320,-nan,-nan,-nan,-nan,1724156917.5723,-nan,-nan,-nan
2024-8-20_20:28:37.592319,-nan,-nan,-nan,-nan,1724156917.5923,-nan,-nan,-nan
2024-8-20_20:28:37.612437,-nan,-nan,-nan,-nan,1724156917.6124,-nan,-nan,-nan
2024-8-20_20:28:37.632378,-nan,-nan,-nan,-nan,1724156917.6324,-nan,-nan,-nan
2024-8-20_20:28:37.652413,-nan,-nan,-nan,-nan,1724156917.6524,-nan,-nan,-nan
2024-8-20_20:28:37.672338,-nan,-nan,-nan,-nan,1724156917.6723,-nan,-nan,-nan
2024-8-20_20:28:37.692325,-nan,-nan,-nan,-nan,1724156917.6923,-nan,-nan,-nan
2024-8-20_20:28:37.712346,-nan,-nan,-nan,-nan,1724156917.7123,-nan,-nan,-nan
2024-8-20_20:28:37.732384,-nan,-nan,-nan,-nan,1724156917.7324,-nan,-nan,-nan
