QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 29
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100325 9.925 0.382 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-6-14_19:49:58.884222,374.3532,311.4750,-207.6623,-nan,1718365798.8842,311.4750,-207.6623,-92.8026
2024-6-14_19:49:58.894014,0.0026,0.0001,0.0026,0.0066,1718365798.8940,311.4751,-207.6597,-92.7959
2024-6-14_19:49:58.894220,0.0005,0.0005,0.0002,-0.0466,1718365798.8942,311.4756,-207.6595,-92.8426
2024-6-14_19:49:58.904217,0.0021,-0.0014,0.0016,0.1500,1718365798.9042,311.4741,-207.6579,-92.6926
2024-6-14_19:49:58.913943,0.0026,0.0001,0.0026,0.0066,1718365798.9139,311.4743,-207.6553,-92.6860
2024-6-14_19:49:58.914212,0.0013,0.0012,0.0006,-0.1066,1718365798.9142,311.4755,-207.6547,-92.7926
2024-6-14_19:49:58.924216,0.0021,-0.0006,0.0020,0.0800,1718365798.9242,311.4748,-207.6527,-92.7126
2024-6-14_19:49:58.933919,0.0026,0.0001,0.0026,0.0066,1718365798.9339,311.4750,-207.6501,-92.7060
2024-6-14_19:49:58.934214,0.0016,-0.0014,-0.0008,0.1134,1718365798.9342,311.4735,-207.6509,-92.5926
2024-6-14_19:49:58.944242,0.0033,0.0013,0.0030,-0.0800,1718365798.9442,311.4748,-207.6479,-92.6726
2024-6-14_19:49:58.953974,0.0024,0.0001,0.0024,0.0054,1718365798.9540,311.4749,-207.6454,-92.6672
2024-6-14_19:49:58.954223,0.0010,-0.0008,-0.0006,0.0746,1718365798.9542,311.4742,-207.6460,-92.5926
2024-6-14_19:49:58.964220,0.0026,0.0002,0.0026,-0.0100,1718365798.9642,311.4744,-207.6434,-92.6026
2024-6-14_19:49:58.974012,0.0025,0.0001,0.0024,0.0054,1718365798.9740,311.4745,-207.6410,-92.5971
2024-6-14_19:49:58.974251,0.0002,-0.0001,-0.0002,0.0046,1718365798.9743,311.4744,-207.6412,-92.5926
2024-6-14_19:49:58.984220,0.0021,-0.0000,0.0021,0.0300,1718365798.9842,311.4744,-207.6390,-92.5626
2024-6-14_19:49:58.994055,0.0020,0.0001,0.0020,0.0042,1718365798.9941,311.4744,-207.6370,-92.5583
2024-6-14_19:49:58.994228,0.0007,0.0005,0.0005,-0.0442,1718365798.9942,311.4749,-207.6364,-92.6026
2024-6-14_19:49:59.004222,0.0019,-0.0001,0.0019,0.0300,1718365799.0042,311.4749,-207.6345,-92.5726
2024-6-14_19:49:59.014021,0.0020,0.0001,0.0020,0.0042,1718365799.0140,311.4750,-207.6325,-92.5683
2024-6-14_19:49:59.014249,0.0007,0.0006,0.0004,-0.0542,1718365799.0142,311.4756,-207.6321,-92.6226
2024-6-14_19:49:59.024251,0.0019,-0.0013,0.0014,0.1100,1718365799.0243,311.4743,-207.6306,-92.5126
2024-6-14_19:49:59.033942,0.0018,0.0001,0.0018,0.0032,1718365799.0339,311.4744,-207.6289,-92.5093
2024-6-14_19:49:59.034217,0.0013,0.0010,0.0009,-0.0832,1718365799.0342,311.4754,-207.6280,-92.5926
2024-6-14_19:49:59.044217,0.0017,-0.0012,0.0013,0.1000,1718365799.0442,311.4743,-207.6267,-92.4926
2024-6-14_19:49:59.053978,0.0018,0.0001,0.0018,0.0033,1718365799.0540,311.4744,-207.6249,-92.4893
2024-6-14_19:49:59.054245,0.0004,0.0003,0.0002,-0.0133,1718365799.0542,311.4747,-207.6248,-92.5026
2024-6-14_19:49:59.064250,0.0022,0.0006,0.0022,-0.0400,1718365799.0642,311.4753,-207.6226,-92.5426
2024-6-14_19:49:59.073930,0.0018,0.0001,0.0018,0.0032,1718365799.0739,311.4754,-207.6208,-92.5393
2024-6-14_19:49:59.074217,0.0018,-0.0016,-0.0009,0.1268,1718365799.0742,311.4737,-207.6217,-92.4126
2024-6-14_19:49:59.084217,0.0022,0.0009,0.0020,-0.0500,1718365799.0842,311.4746,-207.6197,-92.4626
2024-6-14_19:49:59.093916,0.0015,0.0001,0.0015,0.0024,1718365799.0939,311.4747,-207.6182,-92.4602
2024-6-14_19:49:59.094216,0.0016,0.0014,0.0009,-0.1124,1718365799.0942,311.4761,-207.6173,-92.5726
