QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 29
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100325 9.925 0.382 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-6-14_20:0:19.156406,364.0676,312.0587,-187.5222,-nan,1718366419.1564,312.0587,-187.5222,-93.3126
2024-6-14_20:0:19.174168,0.0035,-0.0002,-0.0035,0.0404,1718366419.1742,312.0585,-187.5257,-93.2722
2024-6-14_20:0:19.176400,0.0025,0.0014,0.0021,-0.1004,1718366419.1764,312.0599,-187.5236,-93.3726
2024-6-14_20:0:19.186442,0.0028,-0.0013,-0.0025,0.1000,1718366419.1864,312.0586,-187.5261,-93.2726
2024-6-14_20:0:19.194263,0.0017,-0.0001,-0.0017,0.0196,1718366419.1943,312.0585,-187.5278,-93.2529
2024-6-14_20:0:19.196438,0.0009,-0.0008,-0.0004,0.0504,1718366419.1964,312.0577,-187.5282,-93.2026
2024-6-14_20:0:19.206405,0.0020,0.0013,-0.0015,-0.0700,1718366419.2064,312.0590,-187.5297,-93.2726
2024-6-14_20:0:19.214228,0.0017,-0.0001,-0.0017,0.0196,1718366419.2142,312.0589,-187.5314,-93.2529
2024-6-14_20:0:19.216395,0.0010,0.0010,-0.0002,-0.0596,1718366419.2164,312.0599,-187.5316,-93.3126
2024-6-14_20:0:19.226405,0.0023,-0.0006,-0.0022,0.0500,1718366419.2264,312.0593,-187.5338,-93.2626
2024-6-14_20:0:19.234237,0.0018,-0.0001,-0.0018,0.0213,1718366419.2342,312.0592,-187.5357,-93.2413
