QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 29
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100325 9.925 0.382 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-6-14_19:55:41.045702,364.0615,312.0508,-187.5236,-nan,1718366141.0457,312.0508,-187.5236,-93.0026
2024-6-14_19:55:41.054097,0.0041,-0.0002,-0.0041,0.0000,1718366141.0541,312.0506,-187.5276,-93.0026
2024-6-14_19:55:41.055704,0.0005,0.0005,0.0001,-0.0500,1718366141.0557,312.0511,-187.5275,-93.0526
2024-6-14_19:55:41.065704,0.0044,-0.0001,-0.0044,-0.0100,1718366141.0657,312.0510,-187.5319,-93.0626
2024-6-14_19:55:41.073999,0.0040,-0.0002,-0.0040,0.0000,1718366141.0740,312.0508,-187.5359,-93.0626
2024-6-14_19:55:41.075738,0.0010,-0.0007,-0.0007,0.0500,1718366141.0757,312.0501,-187.5366,-93.0126
2024-6-14_19:55:41.085706,0.0043,0.0009,-0.0042,-0.0800,1718366141.0857,312.0509,-187.5409,-93.0926
2024-6-14_19:55:41.094038,0.0040,-0.0002,-0.0040,0.0009,1718366141.0940,312.0507,-187.5448,-93.0917
2024-6-14_19:55:41.095704,0.0005,-0.0000,-0.0005,-0.0009,1718366141.0957,312.0507,-187.5453,-93.0926
2024-6-14_19:55:41.105739,0.0046,-0.0001,-0.0046,-0.0100,1718366141.1057,312.0506,-187.5499,-93.1026
