QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 29
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100325 9.925 0.382 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-6-14_19:37:39.246651,373.8801,311.5798,-206.6503,-nan,1718365059.2467,311.5798,-206.6503,-93.2326
2024-6-14_19:37:39.254355,0.0060,0.0003,0.0060,-0.0763,1718365059.2544,311.5802,-206.6442,-93.3089
2024-6-14_19:37:39.256573,0.0020,-0.0006,0.0019,0.0263,1718365059.2566,311.5796,-206.6423,-93.2826
2024-6-14_19:37:39.266599,0.0074,-0.0011,0.0073,0.0400,1718365059.2666,311.5784,-206.6350,-93.2426
2024-6-14_19:37:39.274111,0.0059,0.0003,0.0059,-0.0744,1718365059.2741,311.5788,-206.6291,-93.3170
2024-6-14_19:37:39.276559,0.0026,0.0007,0.0026,-0.0756,1718365059.2766,311.5794,-206.6266,-93.3926
2024-6-14_19:37:39.286565,0.0076,-0.0013,0.0075,0.0400,1718365059.2866,311.5781,-206.6190,-93.3526
2024-6-14_19:37:39.294008,0.0057,0.0003,0.0057,-0.0718,1718365059.2940,311.5784,-206.6134,-93.4244
2024-6-14_19:37:39.296587,0.0024,0.0002,0.0024,-0.0382,1718365059.2966,311.5786,-206.6110,-93.4626
2024-6-14_19:37:39.306588,0.0072,-0.0012,0.0071,0.0300,1718365059.3066,311.5774,-206.6039,-93.4326
2024-6-14_19:37:39.313855,0.0055,0.0003,0.0055,-0.0701,1718365059.3139,311.5777,-206.5983,-93.5027
2024-6-14_19:37:39.316583,0.0024,-0.0000,0.0024,-0.0199,1718365059.3166,311.5777,-206.5959,-93.5226
2024-6-14_19:37:39.326587,0.0072,-0.0007,0.0071,-0.0100,1718365059.3266,311.5769,-206.5888,-93.5326
2024-6-14_19:37:39.333987,0.0055,0.0003,0.0054,-0.0693,1718365059.3340,311.5773,-206.5833,-93.6019
2024-6-14_19:37:39.336671,0.0021,-0.0007,0.0020,0.0293,1718365059.3367,311.5766,-206.5813,-93.5726
2024-6-14_19:37:39.346559,0.0073,-0.0002,0.0073,-0.0500,1718365059.3466,311.5764,-206.5740,-93.6226
2024-6-14_19:37:39.353942,0.0054,0.0004,0.0054,-0.0692,1718365059.3539,311.5768,-206.5685,-93.6917
2024-6-14_19:37:39.356550,0.0020,-0.0009,0.0017,0.0492,1718365059.3565,311.5758,-206.5668,-93.6426
2024-6-14_19:37:39.366588,0.0074,0.0006,0.0074,-0.1100,1718365059.3666,311.5765,-206.5594,-93.7526
2024-6-14_19:37:39.373947,0.0052,0.0003,0.0052,-0.0661,1718365059.3739,311.5768,-206.5542,-93.8187
2024-6-14_19:37:39.376549,0.0025,-0.0019,0.0016,0.1161,1718365059.3765,311.5749,-206.5525,-93.7026
2024-6-14_19:37:39.386556,0.0073,0.0002,0.0073,-0.0800,1718365059.3866,311.5752,-206.5453,-93.7826
2024-6-14_19:37:39.393993,0.0053,0.0004,0.0052,-0.0668,1718365059.3940,311.5755,-206.5400,-93.8494
2024-6-14_19:37:39.396550,0.0019,-0.0008,0.0018,0.0368,1718365059.3965,311.5747,-206.5382,-93.8126
2024-6-14_19:37:39.406579,0.0072,-0.0000,0.0072,-0.0600,1718365059.4066,311.5747,-206.5311,-93.8726
2024-6-14_19:37:39.414047,0.0053,0.0004,0.0053,-0.0671,1718365059.4140,311.5751,-206.5258,-93.9396
2024-6-14_19:37:39.416577,0.0017,-0.0004,0.0017,0.0071,1718365059.4166,311.5747,-206.5241,-93.9326
2024-6-14_19:37:39.426630,0.0065,-0.0010,0.0064,0.0100,1718365059.4266,311.5737,-206.5177,-93.9226
2024-6-14_19:37:39.434112,0.0050,0.0003,0.0049,-0.0627,1718365059.4341,311.5741,-206.5128,-93.9853
2024-6-14_19:37:39.454144,0.0133,0.0010,0.0132,-0.1680,1718365059.4541,311.5750,-206.4995,-94.1533
2024-6-14_19:37:39.474170,0.0123,0.0009,0.0123,-0.1547,1718365059.4742,311.5760,-206.4872,-94.3080
2024-6-14_19:37:39.494169,0.0123,0.0010,0.0123,-0.1545,1718365059.4942,311.5769,-206.4750,-94.4626
2024-6-14_19:37:39.514041,0.0115,0.0009,0.0115,-0.1444,1718365059.5140,311.5778,-206.4635,-94.6069
2024-6-14_19:37:39.533967,0.0115,0.0010,0.0115,-0.1448,1718365059.5340,311.5788,-206.4520,-94.7517
2024-6-14_19:37:39.553949,0.0116,0.0010,0.0115,-0.1452,1718365059.5539,311.5798,-206.4405,-94.8969
2024-6-14_19:37:39.573912,0.0106,0.0009,0.0105,-0.1334,1718365059.5739,311.5807,-206.4299,-95.0303
2024-6-14_19:37:39.593963,0.0106,0.0010,0.0106,-0.1340,1718365059.5940,311.5817,-206.4194,-95.1643
2024-6-14_19:37:39.614076,0.0098,0.0009,0.0098,-0.1263,1718365059.6141,311.5826,-206.4096,-95.2906
2024-6-14_19:37:39.634142,0.0098,0.0009,0.0098,-0.1260,1718365059.6341,311.5835,-206.3998,-95.4166
2024-6-14_19:37:39.654071,0.0097,0.0009,0.0097,-0.1252,1718365059.6541,311.5844,-206.3901,-95.5418
2024-6-14_19:37:39.674018,0.0087,0.0009,0.0087,-0.1142,1718365059.6740,311.5853,-206.3815,-95.6559
2024-6-14_19:37:39.693988,0.0087,0.0009,0.0087,-0.1143,1718365059.6940,311.5862,-206.3728,-95.7702
2024-6-14_19:37:39.714015,0.0077,0.0008,0.0076,-0.1037,1718365059.7140,311.5870,-206.3652,-95.8739
2024-6-14_19:37:39.734151,0.0077,0.0008,0.0077,-0.1043,1718365059.7342,311.5878,-206.3575,-95.9782
2024-6-14_19:37:39.754367,0.0068,0.0007,0.0068,-0.0948,1718365059.7544,311.5885,-206.3508,-96.0730
2024-6-14_19:37:39.774321,0.0067,0.0007,0.0067,-0.0936,1718365059.7743,311.5892,-206.3441,-96.1666
2024-6-14_19:37:39.794004,0.0066,0.0007,0.0066,-0.0923,1718365059.7940,311.5899,-206.3375,-96.2588
2024-6-14_19:37:39.813875,0.0056,0.0006,0.0056,-0.0832,1718365059.8139,311.5906,-206.3319,-96.3420
2024-6-14_19:37:39.833950,0.0057,0.0006,0.0056,-0.0841,1718365059.8340,311.5912,-206.3263,-96.4261
2024-6-14_19:37:39.853931,0.0046,0.0005,0.0046,-0.0708,1718365059.8539,311.5917,-206.3217,-96.4969
2024-6-14_19:37:39.873912,0.0046,0.0005,0.0046,-0.0708,1718365059.8739,311.5922,-206.3172,-96.5678
2024-6-14_19:37:39.893949,0.0046,0.0005,0.0046,-0.0710,1718365059.8939,311.5928,-206.3126,-96.6388
2024-6-14_19:37:39.914095,0.0036,0.0004,0.0036,-0.0575,1718365059.9141,311.5932,-206.3090,-96.6964
2024-6-14_19:37:39.934206,0.0036,0.0004,0.0036,-0.0574,1718365059.9342,311.5936,-206.3055,-96.7538
2024-6-14_19:37:39.954254,0.0027,0.0003,0.0027,-0.0447,1718365059.9543,311.5939,-206.3028,-96.7984
2024-6-14_19:37:39.974097,0.0027,0.0003,0.0026,-0.0442,1718365059.9741,311.5942,-206.3002,-96.8426
2024-6-14_19:37:39.994037,0.0017,0.0002,0.0017,-0.0292,1718365059.9940,311.5944,-206.2985,-96.8718
2024-6-14_19:37:40.013964,0.0017,0.0002,0.0017,-0.0292,1718365060.0140,311.5946,-206.2968,-96.9010
2024-6-14_19:37:40.034001,0.0017,0.0002,0.0017,-0.0293,1718365060.0340,311.5948,-206.2951,-96.9304
2024-6-14_19:37:40.054006,0.0009,0.0001,0.0009,-0.0158,1718365060.0540,311.5950,-206.2943,-96.9461
2024-6-14_19:37:40.074097,0.0009,0.0001,0.0009,-0.0158,1718365060.0741,311.5951,-206.2934,-96.9620
2024-6-14_19:37:40.094058,0.0002,0.0000,0.0002,-0.0041,1718365060.0941,311.5951,-206.2932,-96.9660
2024-6-14_19:37:40.113939,0.0002,0.0000,0.0002,-0.0040,1718365060.1139,311.5951,-206.2930,-96.9701
2024-6-14_19:37:40.134191,0.0002,0.0000,0.0002,-0.0041,1718365060.1342,311.5951,-206.2928,-96.9742
2024-6-14_19:37:40.154343,0.0007,-0.0001,-0.0007,0.0127,1718365060.1543,311.5951,-206.2934,-96.9614
2024-6-14_19:37:40.174087,0.0006,-0.0001,-0.0006,0.0125,1718365060.1741,311.5950,-206.2941,-96.9490
2024-6-14_19:37:40.193977,0.0014,-0.0002,-0.0014,0.0266,1718365060.1940,311.5948,-206.2954,-96.9223
2024-6-14_19:37:40.213942,0.0014,-0.0002,-0.0014,0.0267,1718365060.2139,311.5946,-206.2968,-96.8956
2024-6-14_19:37:40.233948,0.0019,-0.0002,-0.0019,0.0386,1718365060.2339,311.5944,-206.2987,-96.8570
2024-6-14_19:37:40.253990,0.0020,-0.0002,-0.0019,0.0387,1718365060.2540,311.5942,-206.3006,-96.8183
2024-6-14_19:37:40.274005,0.0019,-0.0002,-0.0019,0.0386,1718365060.2740,311.5940,-206.3026,-96.7796
2024-6-14_19:37:40.293957,0.0025,-0.0003,-0.0025,0.0504,1718365060.2940,311.5937,-206.3051,-96.7292
2024-6-14_19:37:40.314011,0.0025,-0.0003,-0.0025,0.0507,1718365060.3140,311.5934,-206.3076,-96.6785
2024-6-14_19:37:40.334039,0.0030,-0.0003,-0.0030,0.0610,1718365060.3340,311.5930,-206.3106,-96.6175
