1 0 0 25.687 3.479 0.009 
3 18 2 100435 0 0 0
3 18 3 100436 0 0 0
3 19 1 100437 0 0 0
3 19 2 100438 0 0 0
3 19 3 100439 0 0 0
3 20 1 100440 0 0 0
3 20 2 100441 0 0 0
3 20 3 100442 0 0 0
3 21 1 100443 0 0 0
3 21 2 101730 0 0 0
3 21 3 101729 0 0 0
3 22 1 101728 0 0 0
3 22 2 101727 0 0 0
3 22 3 101726 0 0 0
      
      
4 0 0 25.707 -1.575 0.009 
4 0 1 102236 4.04 0.3 0
4 0 2 102237 4.04 0.24 0
4 1 1 101650 0 0 0
4 1 2 101649 0 0 0
4 1 3 101648 0 0 0
4 2 1 101647 0 0 0
4 2 2 101646 0 0 0
4 2 3 101645 0 0 0
4 3 1 101644 0 0 0
4 3 2 100336 0 0 0
4 3 3 100337 0 0 0
4 4 1 100338 0 0 0
4 4 2 100339 0 0 0
4 4 3 100340 0 0 0
4 5 1 100341 0 0 0
4 5 2 100342 0 0 0
4 5 3 100343 0 0 0
4 6 1 100344 0 0 0
4 6 2 100345 0 0 0
4 6 3 100346 0 0 0
4 7 1 100347 0 0 0
4 7 2 100348 0 0 0
4 7 3 100349 0 0 0
4 8 1 100350 0 0 0
4 8 2 100351 0 0 0
4 8 3 100352 0 0 0
4 9 1 100353 0 0 0
4 9 2 100354 0 0 0
4 9 3 100355 0 0 0
4 10 1 100356 0 0 0
4 10 2 100357 0 0 0
4 10 3 100358 0 0 0
4 11 1 100359 0 0 0
4 11 2 100360 0 0 0
4 11 3 100361 0 0 0
4 12 1 100362 0 0 0
4 12 2 100363 0 0 0
4 12 3 100364 0 0 0
4 13 1 100365 0 0 0
4 13 2 100366 0 0 0
4 13 3 100367 0 0 0
4 14 1 100368 0 0 0
4 14 2 100369 0 0 0
4 14 3 100370 0 0 0
4 15 1 100371 0 0 0
4 15 2 100372 0 0 0
4 15 3 100373 0 0 0
4 16 1 100374 0 0 0
4 16 2 100375 0 0 0
4 16 3 100376 0 0 0
4 17 1 100377 0 0 0
4 17 2 100378 0 0 0
4 17 3 100379 0 0 0
4 18 1 100380 0 0 0
4 18 2 100381 0 0 0
4 18 3 100382 0 0 0
4 19 1 100383 0 0 0
4 19 2 100384 0 0 0
4 19 3 100385 0 0 0
4 20 1 100386 0 0 0
4 20 2 100387 0 0 0
4 20 3 100388 0 0 0
4 21 1 100389 0 0 0
4 21 2 101720 0 0 0
4 21 3 101721 0 0 0
4 22 1 101722 0 0 0
4 22 2 101724 0 0 0
4 22 3 101725 0 0 0
      
      
5 0 0 25.726 -3.371 0.009 
5 0 1 102251 4.04 0.3 0
5 0 2 102255 4.04 0.24 0
5 1 1 101657 0 0 0
5 1 2 101656 0 0 0
5 1 3 101655 0 0 0
5 2 1 101654 0 0 0
5 2 2 101653 0 0 0
5 2 3 101652 0 0 0
5 3 1 101651 0 0 0
5 3 2 100002 0 0 0
5 3 3 100003 0 0 0
5 4 1 100004 0 0 0
5 4 2 100005 0 0 0
5 4 3 100006 0 0 0
5 5 1 100007 0 0 0
5 5 2 100008 0 0 0
5 5 3 100009 0 0 0
5 6 1 100010 0 0 0
5 6 2 100011 0 0 0
5 6 3 100012 0 0 0
5 7 1 100013 0 0 0
5 7 2 100014 0 0 0
5 7 3 100015 0 0 0
5 8 1 100016 0 0 0
5 8 2 100017 0 0 0
5 8 3 100018 0 0 0
5 9 1 100019 0 0 0
5 9 2 100020 0 0 0
5 9 3 100021 0 0 0
5 10 1 100022 0 0 0
5 10 2 100023 0 0 0
5 10 3 100024 0 0 0
5 11 1 100025 0 0 0
