
101736 -0.303699 3.51863 -0.597975
101735 -0.303511 1.82223 -0.272366
101726 -0.272069 0.117267 -0.488911
101725 -0.300771 -1.56151 0.13354
101723 -0.287224 -3.25131 -0.146702

101715 -0.267067 -4.94285 0.0440539
101710 -0.251687 -6.63519 -0.236968
101701 -0.234326 -8.33189 -0.328903
101696 -0.216032 -10.039 -0.544147
101695 -0.18791 -11.7432 0.113275

1001624 29.2245 3.78098 0.191608
1002186 29.2366 2.07437 0.836796
1001643 29.2645 0.380268 0.125105
1001650 29.2442 -1.27341 0.245367
1001657 29.263 -2.96932 0.0962226

1001664 29.2763 -4.68338 0.19125
1001671 29.2946 -6.38067 -0.840427
1002187 29.3125 -8.09775 0.15968
1001683 29.3413 -9.80038 -0.209901
1001690 29.3592 -11.4869 -0.250285


101624 29.1994 3.77866 0.868201
102186 29.2308 2.08543 1.18863
101643 29.2358 0.382859 0.752508
101650 29.2572 -1.3154 0.980912
101657 29.2878 -3.02995 1.19924
101664 29.3067 -4.73775 1.13012
101671 29.3236 -6.43438 0.429607
102187 29.3461 -8.14073 1.34587
101683 29.3634 -9.85044 1.14967
100198 25.3053 -11.5737 0.898814
101684 26.663 -11.5686 0.647905
101690 29.3767 -11.5398 0.876075
