QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:5:50.5928 100320 0.0405018 | -0.0233062 0.0331242 0.774521 | 9.29195 -0.272257 179.357 | 9.31525 -0.305381 178.583
2024-5-18_22:5:50.6028 100320 0.0450439 | -0.0344584 0.0290099 0.454521 | 9.28079 -0.276371 179.037 | 9.31525 -0.305381 178.583
2024-5-18_22:5:50.6079 100320 0.0535908 | -0.0465936 0.0264766 0.254521 | 9.26866 -0.278905 178.837 | 9.31525 -0.305381 178.583
2024-5-18_22:5:50.6328 100320 0.0173069 | -5.06356e-05 0.0173068 -0.00692509 | 9.25649 -0.281751 178.607 | 9.25654 -0.299058 178.614
2024-5-18_22:5:50.6439 100320 0.0144017 | 0.0014053 0.014333 -0.245436 | 9.24453 -0.284284 178.377 | 9.24312 -0.298617 178.623
2024-5-18_22:5:50.6539 100320 0.0103042 | 0.00333307 0.00975023 -0.598468 | 9.23301 -0.288374 178.037 | 9.22968 -0.298124 178.636
2024-5-18_22:5:50.6639 100320 0.00858924 | 0.00450387 0.0073137 -0.813098 | 9.22063 -0.290282 177.837 | 9.21613 -0.297596 178.65
2024-5-18_22:5:50.6728 100320 0.00705501 | 0.00665044 0.00235474 -1.23265 | 9.20909 -0.29476 177.427 | 9.20244 -0.297115 178.66
2024-5-18_22:5:50.6819 100320 0.00728199 | 0.00723381 0.000836268 -1.39437 | 9.19604 -0.295918 177.267 | 9.1888 -0.296755 178.662
2024-5-18_22:5:50.6928 100320 0.0103059 | 0.00947117 -0.00406294 -1.81833 | 9.18456 -0.300544 176.837 | 9.17509 -0.296481 178.656
2024-5-18_22:5:51.3239 100321 0.0259651 | -0.0185123 0.0182067 0.605144 | 8.30103 -0.247401 179.317 | 8.31954 -0.265607 178.712
2024-5-18_22:5:51.3328 100321 0.0217578 | -0.0165079 0.0141736 0.313682 | 8.28926 -0.251122 179.027 | 8.30577 -0.265296 178.714
2024-5-18_22:5:51.3419 100321 0.0181973 | -0.0150009 0.0103011 0.0227804 | 8.27705 -0.254707 178.737 | 8.29205 -0.265008 178.715
2024-5-18_22:5:51.3508 100321 0.0162798 | -0.014357 0.00767531 -0.170758 | 8.26399 -0.256997 178.547 | 8.27835 -0.264672 178.718
2024-5-18_22:5:51.3618 100321 0.013627 | -0.0130459 0.00393703 -0.468899 | 8.25154 -0.260329 178.257 | 8.26459 -0.264266 178.726
2024-5-18_22:5:51.3728 100321 0.0113261 | -0.0113261 1.24674e-05 -0.788079 | 8.23942 -0.263799 177.947 | 8.25074 -0.263812 178.735
2024-5-18_22:5:51.3818 100321 0.0110513 | -0.00941292 -0.00579043 -1.24283 | 8.22746 -0.269148 177.497 | 8.23688 -0.263358 178.74
2024-5-18_22:5:51.3928 100321 0.0115297 | -0.00889605 -0.0073345 -1.39346 | 8.21414 -0.270236 177.347 | 8.22304 -0.262901 178.741
2024-5-18_22:5:51.4019 100321 0.0239749 | -0.0206073 -0.012253 -1.85346 | 8.20243 -0.275154 176.887 | 8.22304 -0.262901 178.741
2024-5-18_22:5:51.4128 100321 0.0364268 | -0.0341681 -0.0126273 -1.96346 | 8.18887 -0.275528 176.777 | 8.22304 -0.262901 178.741
