QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:12:55.6927 100317 0.00758766 | 0.00742938 -0.00154169 -0.634955 | 12.241 -0.329888 -179.653 | 12.2335 -0.328346 -179.018
2024-5-18_22:12:55.7017 100317 0.00712303 | 0.0069227 -0.00167743 -0.644682 | 12.2402 -0.330027 -179.663 | 12.2333 -0.328349 -179.018
2024-5-18_22:12:55.7127 100317 0.00761442 | 0.00687168 -0.00328015 -0.764682 | 12.2401 -0.331629 -179.783 | 12.2333 -0.328349 -179.018
2024-5-18_22:12:55.7217 100317 0.00590087 | 0.00556862 -0.00195214 -0.664682 | 12.2388 -0.330301 -179.683 | 12.2333 -0.328349 -179.018
2024-5-18_22:12:55.7307 100317 0.0093256 | 0.0090562 -0.00222532 -0.697428 | 12.2385 -0.330836 -179.723 | 12.2294 -0.328611 -179.025
2024-5-18_22:12:55.7417 100317 0.00911816 | 0.00884786 -0.0022037 -0.697183 | 12.2378 -0.330839 -179.723 | 12.229 -0.328636 -179.026
2024-5-18_22:12:55.7507 100317 0.00916842 | 0.00878765 -0.0026148 -0.726841 | 12.2374 -0.331241 -179.753 | 12.2286 -0.328626 -179.026
2024-5-18_22:12:55.7617 100317 0.0090374 | 0.00868333 -0.00250487 -0.716773 | 12.2369 -0.33111 -179.743 | 12.2282 -0.328605 -179.026
2024-5-18_22:12:55.7727 100317 0.010299 | 0.00932882 -0.00436382 -0.856622 | 12.2372 -0.332969 -179.883 | 12.2279 -0.328606 -179.026
2024-5-18_22:12:55.7817 100317 0.0140608 | 0.0112341 -0.00845583 358.834 | 12.2388 -0.337087 179.807 | 12.2276 -0.328631 -179.027
2024-5-18_22:12:55.7927 100317 0.0097309 | 0.00885181 -0.00404178 -0.834123 | 12.2362 -0.332706 -179.863 | 12.2274 -0.328664 -179.029
2024-5-18_22:12:55.8017 100317 0.00872125 | 0.00820391 -0.00295906 -0.753002 | 12.2355 -0.331647 -179.783 | 12.2273 -0.328688 -179.03
2024-5-18_22:12:55.8127 100317 0.00854391 | 0.00791174 -0.00322533 -0.773002 | 12.2352 -0.331913 -179.803 | 12.2273 -0.328688 -179.03
2024-5-18_22:12:55.8217 100317 0.0121759 | 0.0119927 -0.0021039 -0.743153 | 12.2348 -0.331517 -179.773 | 12.2228 -0.329413 -179.03
2024-5-18_22:12:55.8327 100317 0.0132853 | 0.0127754 -0.00364529 -0.86262 | 12.2353 -0.333106 -179.893 | 12.2226 -0.32946 -179.03
2024-5-18_22:12:55.8417 100317 0.0131232 | 0.0126636 -0.00344263 -0.852265 | 12.2351 -0.332974 -179.883 | 12.2224 -0.329531 -179.03
2024-5-18_22:12:55.8527 100317 0.0127426 | 0.0123983 -0.00294203 -0.822511 | 12.2347 -0.332577 -179.853 | 12.2223 -0.329635 -179.03
2024-5-18_22:12:55.8617 100317 0.0127376 | 0.0123789 -0.00300143 -0.832729 | 12.2345 -0.33271 -179.863 | 12.2221 -0.329709 -179.03
2024-5-18_22:12:55.8727 100317 0.0122502 | 0.0120042 -0.00244281 -0.793931 | 12.234 -0.332182 -179.823 | 12.222 -0.329739 -179.029
2024-5-18_22:12:55.8817 100317 0.0128419 | 0.0123704 -0.00344783 -0.875803 | 12.2343 -0.33324 -179.903 | 12.222 -0.329792 -179.027
2024-5-18_22:12:55.8927 100317 0.0119977 | 0.0117921 -0.00221164 -0.787005 | 12.2338 -0.33205 -179.813 | 12.222 -0.329839 -179.026
2024-5-18_22:12:55.9027 100317 0.0127669 | 0.0123442 -0.00325791 -0.867401 | 12.2343 -0.333108 -179.893 | 12.2219 -0.32985 -179.025
2024-5-18_22:12:55.9127 100317 0.0117193 | 0.0115352 -0.00206941 -0.777401 | 12.2335 -0.331919 -179.803 | 12.2219 -0.32985 -179.025
2024-5-18_22:12:55.9217 100317 0.0183898 | 0.0180908 -0.00330314 -0.764818 | 12.2333 -0.331523 -179.773 | 12.2152 -0.32822 -179.008
2024-5-18_22:12:55.9307 100317 0.018702 | 0.0183339 -0.00369238 -0.794285 | 12.2335 -0.331919 -179.803 | 12.2151 -0.328227 -179.008
2024-5-18_22:12:55.9407 100317 0.019086 | 0.0186203 -0.00419048 -0.83337 | 12.2337 -0.332447 -179.843 | 12.2151 -0.328257 -179.009
2024-5-18_22:12:55.9507 100317 0.0190992 | 0.018646 -0.00413573 -0.833111 | 12.2337 -0.332447 -179.843 | 12.2151 -0.328312 -179.01
2024-5-18_22:12:55.9607 100317 0.0186336 | 0.0183161 -0.00342515 -0.783343 | 12.2334 -0.331787 -179.793 | 12.2151 -0.328362 -179.009
2024-5-18_22:12:55.9707 100317 0.0185996 | 0.0182856 -0.00340292 -0.783671 | 12.2334 -0.331787 -179.793 | 12.2151 -0.328384 -179.009
2024-5-18_22:12:55.9807 100317 0.0191749 | 0.018738 -0.00406979 -0.85352 | 12.2339 -0.332495 -179.863 | 12.2151 -0.328425 -179.009
2024-5-18_22:12:55.9927 100317 0.0195647 | 0.0190907 -0.00428068 -0.873261 | 12.2342 -0.332759 -179.883 | 12.2151 -0.328478 -179.009
2024-5-18_22:12:56.0017 100317 0.0248604 | 0.0223113 -0.0109657 358.637 | 12.2374 -0.339466 179.627 | 12.2151 -0.3285 -179.01
2024-5-18_22:12:56.0127 100317 0.0189661 | 0.0186309 -0.00355018 -0.803097 | 12.2338 -0.33205 -179.813 | 12.2151 -0.3285 -179.01
2024-5-18_22:12:56.0217 100317 0.0206226 | 0.0199324 -0.00529065 -0.906499 | 12.2345 -0.333288 -179.923 | 12.2145 -0.327997 -179.016
2024-5-18_22:12:56.0327 100317 0.0200563 | 0.0196188 -0.00416633 -0.826444 | 12.2342 -0.33223 -179.843 | 12.2145 -0.328063 -179.016
2024-5-18_22:12:56.0417 100317 0.0196553 | 0.0193265 -0.00357963 -0.785351 | 12.2339 -0.331701 -179.803 | 12.2146 -0.328121 -179.017
2024-5-18_22:12:56.0507 100317 0.0222258 | 0.0211246 -0.00690928 358.976 | 12.2357 -0.335092 179.957 | 12.2146 -0.328183 -179.018
2024-5-18_22:12:56.0607 100317 0.0208401 | 0.0202254 -0.00502413 -0.884081 | 12.2348 -0.333239 -179.903 | 12.2145 -0.328215 -179.019
2024-5-18_22:12:56.0707 100317 0.0205394 | 0.0200741 -0.00434724 -0.854026 | 12.2346 -0.332626 -179.873 | 12.2145 -0.328278 -179.019
2024-5-18_22:12:56.0807 100317 0.0204407 | 0.020061 -0.00392129 -0.814259 | 12.2345 -0.332313 -179.833 | 12.2145 -0.328392 -179.018
2024-5-18_22:12:56.0907 100317 0.0199145 | 0.0196884 -0.0029923 -0.754491 | 12.2341 -0.33152 -179.773 | 12.2144 -0.328527 -179.018
2024-5-18_22:12:56.1007 100317 0.0207506 | 0.0203543 -0.00403635 -0.854614 | 12.2348 -0.332625 -179.873 | 12.2144 -0.328589 -179.018
2024-5-18_22:12:56.1077 100317 0.0204639 | 0.0201695 -0.00345886 -0.794614 | 12.2346 -0.332048 -179.813 | 12.2144 -0.328589 -179.018
2024-5-18_22:12:56.1227 100317 0.0199378 | 0.0195387 -0.00396919 -0.807756 | 12.2347 -0.33218 -179.823 | 12.2151 -0.328211 -179.015
2024-5-18_22:12:56.1327 100317 0.0208136 | 0.0202503 -0.00480943 -0.877523 | 12.2353 -0.333106 -179.893 | 12.2151 -0.328296 -179.015
2024-5-18_22:12:56.1427 100317 0.019923 | 0.0196274 -0.00341923 -0.777086 | 12.2347 -0.331782 -179.793 | 12.2151 -0.328363 -179.016
2024-5-18_22:12:56.1527 100317 0.0202314 | 0.0198828 -0.00373959 -0.806936 | 12.2349 -0.332179 -179.823 | 12.215 -0.32844 -179.016
2024-5-18_22:12:56.1617 100317 0.020646 | 0.0202756 -0.00389332 -0.826786 | 12.2352 -0.332443 -179.843 | 12.215 -0.32855 -179.016
2024-5-18_22:12:56.1707 100317 0.0199881 | 0.0198093 -0.0026673 -0.746636 | 12.2347 -0.331385 -179.763 | 12.2149 -0.328718 -179.016
2024-5-18_22:12:56.1807 100317 0.0208229 | 0.0204935 -0.00368915 -0.836772 | 12.2353 -0.332576 -179.853 | 12.2148 -0.328887 -179.016
2024-5-18_22:12:56.1907 100317 0.0210885 | 0.020789 -0.00354138 -0.836922 | 12.2355 -0.332575 -179.853 | 12.2147 -0.329034 -179.016
2024-5-18_22:12:56.2007 100317 0.0206112 | 0.0204367 -0.00267606 -0.777018 | 12.2351 -0.331781 -179.793 | 12.2147 -0.329105 -179.016
2024-5-18_22:12:56.2107 100317 0.0206945 | 0.0205031 -0.0028084 -0.787018 | 12.2352 -0.331913 -179.803 | 12.2147 -0.329105 -179.016
2024-5-18_22:12:56.2207 100317 0.017854 | 0.0173756 -0.00410549 -0.86363 | 12.2358 -0.332839 -179.873 | 12.2185 -0.328734 -179.009
2024-5-18_22:12:56.2307 100317 0.0186952 | 0.0179991 -0.00505398 -0.94378 | 12.2364 -0.3339 -179.953 | 12.2184 -0.328846 -179.009
