QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 9
100301 311.669 -188.347 -91.5173
100302 311.63 -189.363 -91.9529
100303 312.339 -189.388 -91.4971
100315 311.078 -207.328 -92.1774
100327 312.371 -188.388 -92.0771
100336 311.056 -208.338 -93.297
100337 311.857 -208.334 -91.3424
100338 311.882 -207.323 -91.3858
1436569056 4.63557e-310 -3.699 0
MV_SC2005AM Start

 init 

2024-5-17 18:53:0.729811 100305 0.113109 | 0.0508229 0.101048 1.48508 | 311.936 -194.141 90.6802 | 311.885 -194.242 89.1951
2024-5-17 18:53:0.739827 100305 0.123216 | 0.0470277 0.113888 1.20508 | 311.932 -194.128 90.4002 | 311.885 -194.242 89.1951
2024-5-17 18:53:0.747814 100305 0.0708648 | 0.0486103 0.0515641 0.929216 | 311.929 -194.115 90.1602 | 311.88 -194.167 89.231
2024-5-17 18:53:0.759823 100305 0.0661899 | 0.0436685 0.0497409 0.580917 | 311.925 -194.103 89.8202 | 311.881 -194.152 89.2393
2024-5-17 18:53:0.767833 100305 0.0622381 | 0.0394689 0.0481226 0.25977 | 311.921 -194.09 89.5102 | 311.881 -194.138 89.2504
2024-5-17 18:53:0.779799 100305 0.058725 | 0.0354908 0.0467871 -0.0402633 | 311.917 -194.077 89.2202 | 311.882 -194.123 89.2605
2024-5-17 18:53:0.789796 100305 0.0545573 | 0.0307774 0.0450472 -0.419539 | 311.913 -194.064 88.8502 | 311.882 -194.109 89.2697
2024-5-17 18:53:0.799824 100305 0.0510647 | 0.0267648 0.0434885 -0.736799 | 311.909 -194.051 88.5402 | 311.883 -194.094 89.277
2024-5-17 18:53:0.809811 100305 0.0547384 | 0.0237143 0.0493348 -0.990713 | 311.907 -194.038 88.2902 | 311.883 -194.087 89.2809
2024-5-17 18:53:2.0698 100304 0.0515042 | 0.0312765 0.0409202 1.05392 | 311.951 -192.167 90.1702 | 311.919 -192.208 89.1163
2024-5-17 18:53:2.07982 100304 0.0477053 | 0.0275811 0.038924 0.802945 | 311.947 -192.154 89.9202 | 311.92 -192.193 89.1172
2024-5-17 18:53:2.08984 100304 0.0436253 | 0.023082 0.0370187 0.475759 | 311.943 -192.141 89.5902 | 311.92 -192.178 89.1144
2024-5-17 18:53:2.09794 100304 0.040681 | 0.0196387 0.0356267 0.224119 | 311.94 -192.127 89.3302 | 311.92 -192.163 89.1061
2024-5-17 18:53:2.10981 100304 0.0455217 | 0.0170919 0.0421911 0.0189825 | 311.937 -192.114 89.1202 | 311.92 -192.156 89.1012
2024-5-17 18:53:2.11781 100304 0.0500062 | 0.0138696 0.0480443 -0.268292 | 311.934 -192.1 88.8302 | 311.92 -192.148 89.0985
2024-5-17 18:53:2.1298 100304 0.0624855 | 0.0103865 0.0616163 -0.578292 | 311.931 -192.087 88.5202 | 311.92 -192.148 89.0985
2024-5-17 18:53:2.1378 100304 0.0763372 | 0.00808563 0.0759078 -0.808292 | 311.928 -192.072 88.2902 | 311.92 -192.148 89.0985
2024-5-17 18:53:2.1498 100304 0.0290314 | -0.000520486 0.0290268 -1.03668 | 311.927 -192.058 88.1002 | 311.928 -192.087 89.1369
2024-5-17 18:53:2.15783 100304 0.027225 | -0.00620787 0.0265078 -1.52856 | 311.922 -192.045 87.6002 | 311.928 -192.072 89.1287
2024-5-17 18:53:3.4088 100302 0.0368817 | 0.0227196 0.029053 1.16456 | 311.994 -190.162 89.7002 | 311.971 -190.191 88.5356
2024-5-17 18:53:3.4198 100302 0.0469483 | 0.0196515 0.0426376 0.924556 | 311.991 -190.148 89.4602 | 311.971 -190.191 88.5356
2024-5-17 18:53:3.42977 100302 0.0588079 | 0.0164897 0.0564487 0.684556 | 311.987 -190.134 89.2202 | 311.971 -190.191 88.5356
2024-5-17 18:53:3.43781 100302 0.0721754 | 0.0139448 0.0708155 0.464556 | 311.985 -190.12 89.0002 | 311.971 -190.191 88.5356
2024-5-17 18:53:3.44682 100302 0.0424129 | 0.00747448 0.0417491 0.19565 | 311.982 -190.106 88.7402 | 311.974 -190.147 88.5445
2024-5-17 18:53:3.4578 100302 0.0410768 | 0.00434668 0.0408462 -0.0512903 | 311.979 -190.092 88.4902 | 311.975 -190.133 88.5415
2024-5-17 18:53:3.46683 100302 0.0399984 | 0.000723045 0.0399918 -0.328326 | 311.976 -190.078 88.2102 | 311.975 -190.118 88.5385
