QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 26.1072 1.97712 -175.453
100302 25.1052 1.91516 -175.177
100303 25.121 1.1524 -175.992
100315 7.11862 0.682147 -175.607
100327 26.1179 1.25262 -175.107
100336 6.10031 0.628304 -176.83
100337 6.13386 -0.132231 -176.017
100338 7.15956 -0.0671934 -175.613
MV_SC2005AM Start

 init 

2024-5-17 20:25:50.6753 100314 0.0458472 | 0.030372 0.0343439 -1.89595 | 8.43713 0.401054 2.23701 | 8.40675 0.36671 4.13296
2024-5-17 20:25:51.9973 100313 0.0509114 | 0.0503549 0.00750727 -0.219024 | 10.3097 0.513092 3.85701 | 10.2593 0.505585 4.07603
2024-5-17 20:25:52.0073 100313 0.048359 | 0.0468759 0.0118846 -0.571243 | 10.3205 0.518509 3.49701 | 10.2737 0.506625 4.06825
2024-5-17 20:25:52.0263 100313 0.0334554 | 0.0312467 0.0119545 -0.675843 | 10.3334 0.520755 3.37701 | 10.3022 0.508801 4.05285
2024-5-17 20:25:52.0363 100313 0.0332324 | 0.0307245 0.0126648 -0.772556 | 10.3469 0.522488 3.27701 | 10.3162 0.509823 4.04957
2024-5-17 20:25:52.0453 100313 0.0331391 | 0.0307179 0.0124342 -0.786173 | 10.361 0.523346 3.25701 | 10.3303 0.510912 4.04318
2024-5-17 20:25:52.0562 100313 0.04636 | 0.0439714 0.014689 -0.916173 | 10.3742 0.525601 3.12701 | 10.3303 0.510912 4.04318
2024-5-17 20:25:52.0653 100313 0.0343226 | 0.0231258 0.0253622 -1.11074 | 10.3871 0.528935 2.90701 | 10.3639 0.503573 4.01775
2024-5-17 20:25:52.0763 100313 0.0345479 | 0.0223163 0.0263731 -1.25803 | 10.4006 0.531095 2.75701 | 10.3783 0.504722 4.01504
2024-5-17 20:25:52.0853 100313 0.0356606 | 0.0209826 0.0288342 -1.49822 | 10.4137 0.534712 2.51701 | 10.3927 0.505878 4.01523
2024-5-17 20:25:52.0963 100313 0.0373079 | 0.0190678 0.0320671 -1.82771 | 10.4262 0.539065 2.18701 | 10.4071 0.506998 4.01472
2024-5-17 20:25:52.1053 100313 0.0361143 | 0.0200166 0.0300595 -1.70302 | 10.4415 0.538221 2.30701 | 10.4215 0.508161 4.01003
2024-5-17 20:25:53.3973 100312 0.0551113 | 0.0545296 -0.00798584 1.04116 | 12.3185 0.6348 5.18701 | 12.264 0.642786 4.14585
2024-5-17 20:25:53.4073 100312 0.0542619 | 0.0537322 -0.00756337 1.00369 | 12.3322 0.63639 5.14701 | 12.2784 0.643953 4.14332
2024-5-17 20:25:53.4163 100312 0.0513567 | 0.051227 -0.00364735 0.700714 | 12.3442 0.641568 4.83701 | 12.2929 0.645216 4.1363
2024-5-17 20:25:53.4363 100312 0.0355628 | 0.0354503 -0.00282673 0.532392 | 12.3574 0.644929 4.65701 | 12.3219 0.647755 4.12462
2024-5-17 20:25:53.4443 100312 0.0409883 | 0.0409777 0.000932461 0.267826 | 12.3702 0.649368 4.38701 | 12.3292 0.648435 4.11918
