QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0 0
100302 1 0 0
100303 1 0.767 0
100304 3 0 0
100305 5 0 0
100306 7 0 0
100307 9 0 0
100308 11 0 0
100312 13 0 0
100313 15 0 0
100314 17 0 0
100315 19 0 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 5
100301 311.63 -188.393 -92.4728
100327 312.397 -188.417 -92.4406
100329 307.938 -166.365 -90.2368
100336 311.007 -208.295 -91.8847
100337 311.848 -208.317 -91.2286
MV_SC2005AM Start

 init 

2024-5-17 17:3:56.5415 100335 0.0596948 | 0.0576197 -0.0156027 -1.19456 | 311.929 -192.634 -92.4638 | 311.872 -192.619 -91.2692
2024-5-17 17:3:56.5525 100335 0.0625557 | 0.0609896 -0.0139095 -1.50521 | 311.932 -192.648 -92.7738 | 311.871 -192.634 -91.2686
2024-5-17 17:3:56.5615 100335 0.0647799 | 0.06351 -0.0127638 -1.76335 | 311.934 -192.663 -93.0338 | 311.871 -192.65 -91.2704
2024-5-17 17:3:57.7436 100334 0.0759898 | 0.0535211 -0.0539439 0.326271 | 311.862 -194.536 -91.2538 | 311.808 -194.482 -91.5801
2024-5-17 17:3:57.7535 100334 0.0767527 | 0.0575416 -0.0507931 0.0649942 | 311.865 -194.549 -91.5138 | 311.808 -194.498 -91.5788
2024-5-17 17:3:57.7625 100334 0.0762458 | 0.0582261 -0.0492255 0.0113469 | 311.865 -194.563 -91.5638 | 311.807 -194.514 -91.5751
2024-5-17 17:3:57.7736 100334 0.0774482 | 0.0618061 -0.0466715 -0.250661 | 311.868 -194.576 -91.8238 | 311.806 -194.529 -91.5731
2024-5-17 17:3:57.7916 100334 0.0759347 | 0.0670869 -0.0355729 -0.609124 | 311.873 -194.589 -92.1838 | 311.806 -194.553 -91.5747
2024-5-17 17:3:57.8035 100334 0.0800374 | 0.0684263 -0.0415189 -0.748079 | 311.874 -194.603 -92.3238 | 311.805 -194.561 -91.5757
2024-5-17 17:3:57.8115 100334 0.0895607 | 0.0706242 -0.0550758 -0.978079 | 311.876 -194.616 -92.5538 | 311.805 -194.561 -91.5757
2024-5-17 17:3:57.8215 100334 0.0747304 | 0.0728261 -0.0167631 -1.19132 | 311.878 -194.63 -92.7738 | 311.805 -194.613 -91.5825
2024-5-17 17:3:57.8316 100334 0.0756975 | 0.0741434 -0.0152601 -1.32295 | 311.879 -194.644 -92.9038 | 311.805 -194.629 -91.5808
2024-5-17 17:3:57.8425 100334 0.0785449 | 0.0774295 -0.01319 -1.61537 | 311.882 -194.657 -93.1938 | 311.804 -194.644 -91.5784
2024-5-17 17:3:59.0535 100333 0.0718465 | 0.0394499 -0.0600469 0.854431 | 311.8 -196.549 -90.4438 | 311.76 -196.489 -91.2982
2024-5-17 17:3:59.0625 100333 0.0718751 | 0.0419307 -0.0583767 0.683966 | 311.802 -196.563 -90.6138 | 311.76 -196.505 -91.2978
2024-5-17 17:3:59.0816 100333 0.0618821 | 0.0463971 -0.0409476 0.402737 | 311.805 -196.576 -90.8938 | 311.759 -196.535 -91.2965
2024-5-17 17:3:59.0926 100333 0.0682028 | 0.0496338 -0.0467772 0.162443 | 311.808 -196.59 -91.1338 | 311.759 -196.543 -91.2962
2024-5-17 17:3:59.1016 100333 0.0746756 | 0.0528494 -0.0527577 -0.0875366 | 311.811 -196.604 -91.3838 | 311.759 -196.551 -91.2963
2024-5-17 17:3:59.1136 100333 0.0863691 | 0.0554151 -0.0662479 -0.327537 | 311.814 -196.617 -91.6238 | 311.759 -196.551 -91.2963
2024-5-17 17:3:59.1215 100333 0.077656 | 0.0717148 -0.0297899 -0.655404 | 311.817 -196.631 -91.9238 | 311.746 -196.601 -91.2684
2024-5-17 17:3:59.1336 100333 0.0791339 | 0.0737 -0.0288184 -0.845445 | 311.819 -196.645 -92.1138 | 311.745 -196.616 -91.2684
2024-5-17 17:3:59.1416 100333 0.0819454 | 0.0773862 -0.0269524 -1.16503 | 311.822 -196.659 -92.4338 | 311.745 -196.632 -91.2688
2024-5-17 17:3:59.1526 100333 0.0810931 | 0.0765921 -0.0266408 -1.14428 | 311.821 -196.674 -92.4138 | 311.745 -196.647 -91.2695
2024-5-17 17:4:0.333548 100332 0.0827876 | 0.0465298 -0.0684745 0.356889 | 311.758 -198.54 -90.9438 | 311.712 -198.472 -91.3007
