QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:57:32.4497 100325 0.0239241 | 0.0116863 -0.0208756 0.784818 | 7.67659 -0.280393 -3.29785 | 7.6649 -0.259517 -4.08267
2024-5-19_13:57:32.4596 100325 0.0244515 | 0.0120792 -0.0212596 0.805124 | 7.67692 -0.280689 -3.27785 | 7.66484 -0.259429 -4.08297
2024-5-19_13:57:32.4666 100325 0.0237742 | 0.0118418 -0.0206151 0.755237 | 7.67663 -0.279979 -3.32785 | 7.66478 -0.259364 -4.08309
2024-5-19_13:57:32.4786 100325 0.0244645 | 0.0121691 -0.0212232 0.79487 | 7.67686 -0.280547 -3.28785 | 7.66469 -0.259324 -4.08272
2024-5-19_13:57:32.4867 100325 0.0241197 | 0.0119289 -0.0209633 0.774121 | 7.67653 -0.280251 -3.30785 | 7.6646 -0.259288 -4.08197
2024-5-19_13:57:32.4987 100325 0.0243431 | 0.0120545 -0.0211489 0.783845 | 7.67659 -0.280393 -3.29785 | 7.66453 -0.259244 -4.0817
2024-5-19_13:57:32.5077 100325 0.0236049 | 0.0117935 -0.0204476 0.734047 | 7.6763 -0.279683 -3.34785 | 7.6645 -0.259236 -4.0819
2024-5-19_13:57:32.5187 100325 0.0243746 | 0.0122888 -0.0210501 0.774255 | 7.67674 -0.280263 -3.30785 | 7.66445 -0.259213 -4.08211
2024-5-19_13:57:32.5267 100325 0.0245512 | 0.0123682 -0.0212082 0.784167 | 7.6768 -0.280405 -3.29785 | 7.66443 -0.259197 -4.08202
2024-5-19_13:57:32.5386 100325 0.0243992 | 0.0123098 -0.0210663 0.774167 | 7.67674 -0.280263 -3.30785 | 7.66443 -0.259197 -4.08202
2024-5-19_13:57:32.5466 100325 0.0245512 | 0.0123682 -0.0212082 0.784167 | 7.6768 -0.280405 -3.29785 | 7.66443 -0.259197 -4.08202
2024-5-19_13:57:32.5587 100325 0.024401 | 0.0120341 -0.021227 0.793333 | 7.67686 -0.280547 -3.28785 | 7.66483 -0.25932 -4.08118
2024-5-19_13:57:32.5666 100325 0.0244591 | 0.0120799 -0.0212679 0.793447 | 7.67686 -0.280547 -3.28785 | 7.66478 -0.259279 -4.0813
2024-5-19_13:57:32.5796 100325 0.0245424 | 0.0119624 -0.0214297 0.803851 | 7.67671 -0.280677 -3.27785 | 7.66474 -0.259247 -4.0817
2024-5-19_13:57:32.5867 100325 0.0245357 | 0.0121619 -0.0213093 0.794253 | 7.67686 -0.280547 -3.28785 | 7.6647 -0.259238 -4.0821
2024-5-19_13:57:32.5987 100325 0.0241263 | 0.0118574 -0.0210115 0.774455 | 7.67653 -0.280251 -3.30785 | 7.66467 -0.259239 -4.08231
2024-5-19_13:57:32.6077 100325 0.0247223 | 0.0123047 -0.0214426 0.804675 | 7.67692 -0.280689 -3.27785 | 7.66461 -0.259246 -4.08252
2024-5-19_13:57:32.6187 100325 0.0247223 | 0.0123047 -0.0214426 0.804675 | 7.67692 -0.280689 -3.27785 | 7.66461 -0.259246 -4.08252
2024-5-19_13:57:32.6267 100325 0.0241364 | 0.0120999 -0.0208844 0.764017 | 7.67668 -0.280121 -3.31785 | 7.66458 -0.259237 -4.08187
2024-5-19_13:57:32.6386 100325 0.0239844 | 0.0120416 -0.0207425 0.754017 | 7.67663 -0.279979 -3.32785 | 7.66458 -0.259237 -4.08187
2024-5-19_13:57:32.6476 100325 0.0245926 | 0.0122749 -0.0213101 0.794017 | 7.67686 -0.280547 -3.28785 | 7.66458 -0.259237 -4.08187
2024-5-19_13:57:32.6586 100325 0.0237888 | 0.0115084 -0.0208198 0.781986 | 7.6768 -0.280405 -3.29785 | 7.66529 -0.259585 -4.07984
2024-5-19_13:57:32.6676 100325 0.0239971 | 0.0116255 -0.0209931 0.791813 | 7.67686 -0.280547 -3.28785 | 7.66523 -0.259554 -4.07966
2024-5-19_13:57:32.6786 100325 0.0239073 | 0.0116081 -0.0209 0.781155 | 7.6768 -0.280405 -3.29785 | 7.66519 -0.259505 -4.07901
2024-5-19_13:57:32.6866 100325 0.024058 | 0.011666 -0.0210403 0.790209 | 7.67686 -0.280547 -3.28785 | 7.66519 -0.259507 -4.07806
