QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 28
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-5-19_20:18:36.848090 100313 0.072787 | 0.044832 0.057341 -1.054047 | 311.629946 -204.049913 89.377432 | 311.585114 -204.107254 90.431479
2024-5-19_20:18:36.856092 100313 0.073071 | 0.045058 0.057525 -1.034798 | 311.630202 -204.049775 89.397432 | 311.585144 -204.107300 90.432231
2024-5-19_20:18:36.868098 100313 0.072397 | 0.044387 0.057193 -1.084785 | 311.629562 -204.050122 89.347432 | 311.585175 -204.107315 90.432217
2024-5-19_20:18:36.876096 100313 0.072414 | 0.044357 0.057239 -1.084491 | 311.629562 -204.050122 89.347432 | 311.585205 -204.107361 90.431923
2024-5-19_20:18:36.888093 100313 0.073215 | 0.045125 0.057656 -1.024491 | 311.630330 -204.049705 89.407432 | 311.585205 -204.107361 90.431923
2024-5-19_20:18:36.896090 100313 0.072972 | 0.045503 0.057047 -1.003692 | 311.630586 -204.049566 89.427432 | 311.585083 -204.106613 90.431124
2024-5-19_20:18:36.908093 100313 0.072233 | 0.044704 0.056737 -1.063699 | 311.629818 -204.049983 89.367432 | 311.585114 -204.106720 90.431131
2024-5-19_20:18:36.916118 100313 0.072967 | 0.045314 0.057191 -1.013897 | 311.630458 -204.049636 89.417432 | 311.585144 -204.106827 90.431329
2024-5-19_20:18:36.928122 100313 0.072771 | 0.045058 0.057144 -1.034081 | 311.630202 -204.049775 89.397432 | 311.585144 -204.106918 90.431513
2024-5-19_20:18:36.936092 100313 0.073111 | 0.045314 0.057374 -1.014559 | 311.630458 -204.049636 89.417432 | 311.585144 -204.107010 90.431991
2024-5-19_20:18:36.948093 100313 0.073462 | 0.045570 0.057620 -0.995714 | 311.630714 -204.049496 89.437432 | 311.585144 -204.107117 90.433146
2024-5-19_20:18:36.956090 100313 0.072458 | 0.044515 0.057171 -1.076096 | 311.629690 -204.050052 89.357432 | 311.585175 -204.107224 90.433528
2024-5-19_20:18:36.968103 100313 0.072893 | 0.044838 0.057471 -1.046192 | 311.630074 -204.049844 89.387432 | 311.585236 -204.107315 90.433624
2024-5-19_20:18:36.976094 100313 0.072493 | 0.044454 0.057263 -1.076192 | 311.629690 -204.050052 89.357432 | 311.585236 -204.107315 90.433624
2024-5-19_20:18:36.988128 100313 0.073561 | 0.045478 0.057819 -0.996192 | 311.630714 -204.049496 89.437432 | 311.585236 -204.107315 90.433624
2024-5-19_20:18:36.996117 100313 0.072631 | 0.045113 0.056922 -1.046670 | 311.630074 -204.049844 89.387432 | 311.584961 -204.106766 90.434102
2024-5-19_20:18:37.008220 100313 0.072418 | 0.044888 0.056829 -1.066848 | 311.629818 -204.049983 89.367432 | 311.584930 -204.106812 90.434280
2024-5-19_20:18:37.016087 100313 0.072643 | 0.045046 0.056990 -1.057032 | 311.629946 -204.049913 89.377432 | 311.584900 -204.106903 90.434464
2024-5-19_20:18:37.028119 100313 0.072975 | 0.045272 0.057235 -1.036561 | 311.630202 -204.049775 89.397432 | 311.584930 -204.107010 90.433993
2024-5-19_20:18:37.036117 100313 0.073856 | 0.046009 0.057775 -0.975987 | 311.630970 -204.049357 89.457432 | 311.584961 -204.107132 90.433419
2024-5-19_20:18:37.048091 100313 0.073080 | 0.045150 0.057464 -1.036083 | 311.630202 -204.049775 89.397432 | 311.585052 -204.107239 90.433515
2024-5-19_20:18:37.056089 100313 0.072561 | 0.044546 0.057278 -1.076281 | 311.629690 -204.050052 89.357432 | 311.585144 -204.107330 90.433713
2024-5-19_20:18:37.068112 100313 0.073767 | 0.045606 0.057980 -0.986848 | 311.630842 -204.049427 89.447432 | 311.585236 -204.107407 90.434280
2024-5-19_20:18:37.076095 100313 0.073232 | 0.045094 0.057702 -1.026848 | 311.630330 -204.049705 89.407432 | 311.585236 -204.107407 90.434280
2024-5-19_20:18:37.088120 100313 0.073901 | 0.045734 0.058049 -0.976848 | 311.630970 -204.049357 89.457432 | 311.585236 -204.107407 90.434280
2024-5-19_20:18:37.096095 100313 0.072480 | 0.045235 0.056632 -1.045891 | 311.630074 -204.049844 89.387432 | 311.584839 -204.106476 90.433323
2024-5-19_20:18:37.108089 100313 0.072502 | 0.045174 0.056708 -1.045707 | 311.630074 -204.049844 89.387432 | 311.584900 -204.106552 90.433139
2024-5-19_20:18:37.116135 100313 0.071714 | 0.044314 0.056383 -1.105611 | 311.629306 -204.050260 89.327432 | 311.584991 -204.106644 90.433043
2024-5-19_20:18:37.128134 100313 0.073086 | 0.045534 0.057169 -1.005413 | 311.630586 -204.049566 89.427432 | 311.585052 -204.106735 90.432845
2024-5-19_20:18:37.136124 100313 0.072572 | 0.044961 0.056968 -1.046185 | 311.630074 -204.049844 89.387432 | 311.585114 -204.106812 90.433617
2024-5-19_20:18:37.148119 100313 0.073233 | 0.045509 0.057376 -0.997612 | 311.630714 -204.049496 89.437432 | 311.585205 -204.106873 90.435045
2024-5-19_20:18:37.156125 100313 0.073159 | 0.045381 0.057383 -1.008377 | 311.630586 -204.049566 89.427432 | 311.585205 -204.106949 90.435810
2024-5-19_20:18:37.168100 100313 0.073317 | 0.045509 0.057483 -0.998664 | 311.630714 -204.049496 89.437432 | 311.585205 -204.106979 90.436096
2024-5-19_20:18:37.176095 100313 0.072951 | 0.045125 0.057320 -1.028944 | 311.630330 -204.049705 89.407432 | 311.585205 -204.107025 90.436376
2024-5-19_20:18:37.188091 100313 0.072805 | 0.045741 0.056642 -1.019422 | 311.630458 -204.049636 89.417432 | 311.584717 -204.106277 90.436855
2024-5-19_20:18:37.196096 100313 0.072406 | 0.045327 0.056464 -1.049675 | 311.630074 -204.049844 89.387432 | 311.584747 -204.106308 90.437107
2024-5-19_20:18:37.208117 100313 0.072313 | 0.045168 0.056471 -1.060051 | 311.629946 -204.049913 89.377432 | 311.584778 -204.106384 90.437483
2024-5-19_20:18:37.216093 100313 0.072914 | 0.045650 0.056856 -1.019969 | 311.630458 -204.049636 89.417432 | 311.584808 -204.106491 90.437401
2024-5-19_20:18:37.228090 100313 0.072691 | 0.045333 0.056823 -1.039880 | 311.630202 -204.049775 89.397432 | 311.584869 -204.106598 90.437312
2024-5-19_20:18:37.236124 100313 0.072847 | 0.045400 0.056969 -1.029498 | 311.630330 -204.049705 89.407432 | 311.584930 -204.106674 90.436930
2024-5-19_20:18:37.248096 100313 0.073132 | 0.045625 0.057154 -1.009382 | 311.630586 -204.049566 89.427432 | 311.584961 -204.106720 90.436814
2024-5-19_20:18:37.256126 100313 0.073007 | 0.045436 0.057145 -1.019286 | 311.630458 -204.049636 89.417432 | 311.585022 -204.106781 90.436718
2024-5-19_20:18:37.268134 100313 0.072488 | 0.044894 0.056913 -1.059088 | 311.629946 -204.049913 89.377432 | 311.585052 -204.106827 90.436520
2024-5-19_20:18:37.276124 100313 0.072505 | 0.044863 0.056959 -1.058992 | 311.629946 -204.049913 89.377432 | 311.585083 -204.106873 90.436424
2024-5-19_20:18:37.288096 100313 0.072238 | 0.044607 0.056820 -1.078992 | 311.629690 -204.050052 89.357432 | 311.585083 -204.106873 90.436424
2024-5-19_20:18:37.296093 100313 0.072224 | 0.044979 0.056508 -1.065440 | 311.629818 -204.049983 89.367432 | 311.584839 -204.106491 90.432873
2024-5-19_20:18:37.308115 100313 0.072648 | 0.045302 0.056793 -1.034956 | 311.630202 -204.049775 89.397432 | 311.584900 -204.106567 90.432388
2024-5-19_20:18:37.316090 100313 0.072804 | 0.045369 0.056939 -1.024375 | 311.630330 -204.049705 89.407432 | 311.584961 -204.106644 90.431807
2024-5-19_20:18:37.327094 100313 0.072698 | 0.045211 0.056930 -1.033508 | 311.630202 -204.049775 89.397432 | 311.584991 -204.106705 90.430940
2024-5-19_20:18:37.336098 100313 0.072904 | 0.045339 0.057091 -1.023508 | 311.630330 -204.049705 89.407432 | 311.584991 -204.106796 90.430940
2024-5-19_20:18:37.348119 100313 0.072428 | 0.044826 0.056890 -1.063699 | 311.629818 -204.049983 89.367432 | 311.584991 -204.106873 90.431131
2024-5-19_20:18:37.355092 100313 0.072840 | 0.045150 0.057159 -1.033692 | 311.630202 -204.049775 89.397432 | 311.585052 -204.106934 90.431124
2024-5-19_20:18:37.367135 100313 0.072855 | 0.045058 0.057251 -1.033508 | 311.630202 -204.049775 89.397432 | 311.585144 -204.107025 90.430940
2024-5-19_20:18:37.377118 100313 0.072872 | 0.045028 0.057296 -1.033118 | 311.630202 -204.049775 89.397432 | 311.585175 -204.107071 90.430550
2024-5-19_20:18:37.388137 100313 0.072738 | 0.044899 0.057227 -1.043118 | 311.630074 -204.049844 89.387432 | 311.585175 -204.107071 90.430550
2024-5-19_20:18:37.398113 100313 0.072537 | 0.045107 0.056807 -1.050530 | 311.629946 -204.049913 89.377432 | 311.584839 -204.106720 90.427962
2024-5-19_20:18:37.408123 100313 0.072578 | 0.045077 0.056883 -1.048897 | 311.629946 -204.049913 89.377432 | 311.584869 -204.106796 90.426329
2024-5-19_20:18:37.417122 100313 0.072868 | 0.045272 0.057098 -1.028125 | 311.630202 -204.049775 89.397432 | 311.584930 -204.106873 90.425557
2024-5-19_20:18:37.426099 100313 0.073170 | 0.045467 0.057329 -1.007647 | 311.630458 -204.049636 89.417432 | 311.584991 -204.106964 90.425079
2024-5-19_20:18:37.438092 100313 0.072535 | 0.044765 0.057073 -1.057367 | 311.629818 -204.049983 89.367432 | 311.585052 -204.107056 90.424799
2024-5-19_20:18:37.446092 100313 0.073677 | 0.045790 0.057720 -0.976595 | 311.630842 -204.049427 89.447432 | 311.585052 -204.107147 90.424027
2024-5-19_20:18:37.458089 100313 0.073431 | 0.045473 0.057657 -0.996206 | 311.630586 -204.049566 89.427432 | 311.585114 -204.107224 90.423638
2024-5-19_20:18:37.466096 100313 0.073848 | 0.045765 0.057958 -0.965830 | 311.630970 -204.049357 89.457432 | 311.585205 -204.107315 90.423262
2024-5-19_20:18:37.478099 100313 0.073714 | 0.045637 0.057888 -0.975830 | 311.630842 -204.049427 89.447432 | 311.585205 -204.107315 90.423262
2024-5-19_20:18:37.486089 100313 0.072732 | 0.045382 0.056837 -1.048282 | 311.629946 -204.049913 89.377432 | 311.584564 -204.106750 90.425715
2024-5-19_20:18:37.498114 100313 0.073559 | 0.046089 0.057330 -0.988569 | 311.630714 -204.049496 89.437432 | 311.584625 -204.106827 90.426001
2024-5-19_20:18:37.506087 100313 0.073044 | 0.045516 0.057129 -1.028959 | 311.630202 -204.049775 89.397432 | 311.584686 -204.106903 90.426391
2024-5-19_20:18:37.518119 100313 0.073360 | 0.045772 0.057329 -1.009621 | 311.630458 -204.049636 89.417432 | 311.584686 -204.106964 90.427053
2024-5-19_20:18:37.526095 100313 0.073657 | 0.045997 0.057529 -0.989997 | 311.630714 -204.049496 89.437432 | 311.584717 -204.107025 90.427429
2024-5-19_20:18:37.538093 100313 0.072953 | 0.045266 0.057212 -1.040270 | 311.630074 -204.049844 89.387432 | 311.584808 -204.107056 90.427702
2024-5-19_20:18:37.546092 100313 0.073212 | 0.045430 0.057412 -1.020748 | 311.630330 -204.049705 89.407432 | 311.584900 -204.107117 90.428180
2024-5-19_20:18:37.558098 100313 0.072547 | 0.044698 0.057141 -1.070653 | 311.629690 -204.050052 89.357432 | 311.584991 -204.107193 90.428085
2024-5-19_20:18:37.566110 100313 0.072982 | 0.045022 0.057441 -1.039696 | 311.630074 -204.049844 89.387432 | 311.585052 -204.107285 90.427128
2024-5-19_20:18:37.578094 100313 0.072581 | 0.044637 0.057232 -1.069696 | 311.629690 -204.050052 89.357432 | 311.585052 -204.107285 90.427128
