QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 28
100301 0 0.057 0
100302 1 0.057 0
100303 1 0.767 0
100304 3 0.057 0
100305 5 0.057 0
100306 7 0.057 0
100307 9 0.057 0
100308 11 0.057 0
100309 9.865 0.382 0
100310 8.447 -0.858 0
100312 13 0.057 0
100313 15 0.057 0
100314 17 0.057 0
100315 19 0.057 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0.057 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

 init 

2024-5-20_10:20:58.188039,100309,0.118597,0.118081,0.011043,-0.377006,1716171658.188039,310.954965,-198.562443,-0.832568,1716171658.192265,310.836884,-198.573486,-0.455562
2024-5-20_10:20:58.196043,100309,0.118649,0.118146,0.010912,-0.366935,1716171658.196043,310.955030,-198.562574,-0.822568,1716171658.197281,310.836884,-198.573486,-0.455633
2024-5-20_10:20:58.208073,100309,0.118442,0.117888,0.011437,-0.406935,1716171658.208073,310.954772,-198.562049,-0.862568,1716171658.197281,310.836884,-198.573486,-0.455633
2024-5-20_10:20:58.216000,100309,0.118754,0.118275,0.010650,-0.346935,1716171658.216000,310.955159,-198.562837,-0.802568,1716171658.197281,310.836884,-198.573486,-0.455633
2024-5-20_10:20:58.228038,100309,0.118653,0.118129,0.011141,-0.422042,1716171658.228038,310.954707,-198.561918,-0.872568,1716171658.232252,310.836578,-198.573059,-0.450526
2024-5-20_10:20:58.236020,100309,0.118734,0.118227,0.010955,-0.401794,1716171658.236020,310.954836,-198.562181,-0.852568,1716171658.242250,310.836609,-198.573135,-0.450774
2024-5-20_10:20:58.248050,100309,0.118634,0.118098,0.011263,-0.420586,1716171658.248050,310.954707,-198.561918,-0.872568,1716171658.252303,310.836609,-198.573181,-0.451982
2024-5-20_10:20:58.256037,100309,0.118637,0.118098,0.011294,-0.420827,1716171658.256037,310.954707,-198.561918,-0.872568,1716171658.262254,310.836609,-198.573212,-0.451741
2024-5-20_10:20:58.268032,100309,0.118613,0.118068,0.011355,-0.422885,1716171658.268032,310.954707,-198.561918,-0.872568,1716171658.272257,310.836639,-198.573273,-0.449683
2024-5-20_10:20:58.276041,100309,0.118795,0.118295,0.010891,-0.384763,1716171658.276041,310.954965,-198.562443,-0.832568,1716171658.282287,310.836670,-198.573334,-0.447805
2024-5-20_10:20:58.288065,100309,0.118592,0.118037,0.011462,-0.425778,1716171658.288065,310.954707,-198.561918,-0.872568,1716171658.292256,310.836670,-198.573380,-0.446790
2024-5-20_10:20:58.296042,100309,0.118726,0.118197,0.011199,-0.406002,1716171658.296042,310.954836,-198.562181,-0.852568,1716171658.297275,310.836639,-198.573380,-0.446566
2024-5-20_10:20:58.308043,100309,0.118696,0.118166,0.011199,-0.406027,1716171658.308043,310.954836,-198.562181,-0.852568,1716171658.302254,310.836670,-198.573380,-0.446541
2024-5-20_10:20:58.316041,100309,0.118904,0.118424,0.010674,-0.366027,1716171658.316041,310.955094,-198.562705,-0.812568,1716171658.302254,310.836670,-198.573380,-0.446541
2024-5-20_10:20:58.328066,100309,0.118550,0.118041,0.010979,-0.422626,1716171658.328066,310.954772,-198.562049,-0.862568,1716171658.332251,310.836731,-198.573029,-0.439942
2024-5-20_10:20:58.336064,100309,0.118685,0.118204,0.010677,-0.393059,1716171658.336064,310.954965,-198.562443,-0.832568,1716171658.342247,310.836761,-198.573120,-0.439509
2024-5-20_10:20:58.348050,100309,0.118481,0.117946,0.011248,-0.433299,1716171658.348050,310.954707,-198.561918,-0.872568,1716171658.352267,310.836761,-198.573166,-0.439268
2024-5-20_10:20:58.356043,100309,0.118534,0.118010,0.011132,-0.422191,1716171658.356043,310.954772,-198.562049,-0.862568,1716171658.362264,310.836761,-198.573181,-0.440377
2024-5-20_10:20:58.368040,100309,0.118374,0.117820,0.011440,-0.440688,1716171658.368040,310.954643,-198.561787,-0.882568,1716171658.372275,310.836823,-198.573227,-0.441880
2024-5-20_10:20:58.376041,100309,0.118379,0.117820,0.011486,-0.440736,1716171658.376041,310.954643,-198.561787,-0.882568,1716171658.382260,310.836823,-198.573273,-0.441832
2024-5-20_10:20:58.384024,100309,0.118465,0.117915,0.011401,-0.430981,1716171658.384024,310.954707,-198.561918,-0.872568,1716171658.392285,310.836792,-198.573318,-0.441587
2024-5-20_10:20:58.398043,100309,0.118675,0.118173,0.010906,-0.391102,1716171658.398043,310.954965,-198.562443,-0.832568,1716171658.397265,310.836792,-198.573349,-0.441466
2024-5-20_10:20:58.408071,100309,0.118468,0.117915,0.011431,-0.431102,1716171658.408071,310.954707,-198.561918,-0.872568,1716171658.397265,310.836792,-198.573349,-0.441466
2024-5-20_10:20:58.418039,100309,0.118341,0.117878,0.010451,-0.351870,1716171658.418039,310.955159,-198.562837,-0.802568,1716171658.422251,310.837280,-198.573288,-0.450698
2024-5-20_10:20:58.427037,100309,0.118319,0.117827,0.010781,-0.412509,1716171658.427037,310.954772,-198.562049,-0.862568,1716171658.432253,310.836945,-198.572830,-0.450059
2024-5-20_10:20:58.437035,100309,0.118514,0.118051,0.010463,-0.382266,1716171658.437035,310.954965,-198.562443,-0.832568,1716171658.442279,310.836914,-198.572906,-0.450302
2024-5-20_10:20:58.446056,100309,0.118390,0.117919,0.010555,-0.402023,1716171658.446056,310.954833,-198.562397,-0.852568,1716171658.452304,310.836914,-198.572952,-0.450545
2024-5-20_10:20:58.455038,100309,0.118344,0.117824,0.011080,-0.422263,1716171658.455038,310.954707,-198.561918,-0.872568,1716171658.462254,310.836884,-198.572998,-0.450304
2024-5-20_10:20:58.466037,100309,0.118608,0.118146,0.010454,-0.372600,1716171658.466038,310.955030,-198.562574,-0.822568,1716171658.472256,310.836884,-198.573029,-0.449968
2024-5-20_10:20:58.478044,100309,0.118591,0.118112,0.010647,-0.383130,1716171658.478044,310.954965,-198.562443,-0.832568,1716171658.482282,310.836853,-198.573090,-0.449438
2024-5-20_10:20:58.486039,100309,0.118599,0.118112,0.010738,-0.383183,1716171658.486039,310.954965,-198.562443,-0.832568,1716171658.492259,310.836853,-198.573181,-0.449385
2024-5-20_10:20:58.498070,100309,0.118580,0.118078,0.010900,-0.393112,1716171658.498070,310.954901,-198.562312,-0.842568,1716171658.497286,310.836823,-198.573212,-0.449456
2024-5-20_10:20:58.506041,100309,0.118476,0.117949,0.011162,-0.413112,1716171658.506041,310.954772,-198.562049,-0.862568,1716171658.497286,310.836823,-198.573212,-0.449456
2024-5-20_10:20:58.518043,100309,0.118685,0.118207,0.010637,-0.373112,1716171658.518044,310.955030,-198.562574,-0.822568,1716171658.497286,310.836823,-198.573212,-0.449456
2024-5-20_10:20:58.526066,100309,0.118527,0.118037,0.010760,-0.430398,1716171658.526066,310.954707,-198.561918,-0.872568,1716171658.532249,310.836670,-198.572678,-0.442170
2024-5-20_10:20:58.538055,100309,0.118709,0.118265,0.010265,-0.391798,1716171658.538055,310.954965,-198.562443,-0.832568,1716171658.542247,310.836700,-198.572708,-0.440770
2024-5-20_10:20:58.546061,100309,0.118446,0.117942,0.010906,-0.440886,1716171658.546061,310.954643,-198.561787,-0.882568,1716171658.552280,310.836700,-198.572693,-0.441682
2024-5-20_10:20:58.558040,100309,0.118598,0.118136,0.010467,-0.410073,1716171658.558040,310.954836,-198.562181,-0.852568,1716171658.562255,310.836700,-198.572647,-0.442495
2024-5-20_10:20:58.566038,100309,0.118549,0.118071,0.010628,-0.420518,1716171658.566038,310.954772,-198.562049,-0.862568,1716171658.572281,310.836700,-198.572678,-0.442050
2024-5-20_10:20:58.578048,100309,0.118589,0.118102,0.010735,-0.421640,1716171658.578048,310.954772,-198.562049,-0.862568,1716171658.582255,310.836670,-198.572784,-0.440928
2024-5-20_10:20:58.586038,100309,0.118778,0.118329,0.010317,-0.381113,1716171658.586038,310.955030,-198.562574,-0.822568,1716171658.592297,310.836700,-198.572891,-0.441455
2024-5-20_10:20:58.598044,100309,0.118594,0.118105,0.010756,-0.410365,1716171658.598044,310.954836,-198.562181,-0.852568,1716171658.597267,310.836731,-198.572937,-0.442203
2024-5-20_10:20:58.606042,100309,0.118408,0.117881,0.011150,-0.439995,1716171658.606042,310.954643,-198.561787,-0.882568,1716171658.602258,310.836761,-198.572937,-0.442573
2024-5-20_10:20:58.618048,100309,0.118564,0.118075,0.010756,-0.409995,1716171658.618048,310.954836,-198.562181,-0.852568,1716171658.602258,310.836761,-198.572937,-0.442573
