QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:1:50.7277 100330 0.0321954 | 0.0234704 -0.0220383 0.844225 | 6.71373 -0.222643 -1.87113 | 6.69026 -0.200605 -2.71535
2024-5-19_12:1:50.7387 100330 0.0307916 | 0.0228715 -0.0206159 0.744538 | 6.71427 -0.221289 -1.97113 | 6.6914 -0.200673 -2.71567
2024-5-19_12:1:50.7477 100330 0.030056 | 0.0225259 -0.0198984 0.694658 | 6.71507 -0.220631 -2.02113 | 6.69255 -0.200733 -2.71579
2024-5-19_12:1:50.7587 100330 0.0300127 | 0.0224595 -0.0199081 0.694684 | 6.71613 -0.220669 -2.02113 | 6.69367 -0.20076 -2.71581
2024-5-19_12:1:50.7677 100330 0.0308183 | 0.0228729 -0.0206542 0.744996 | 6.71767 -0.221406 -1.97113 | 6.69479 -0.200751 -2.71612
2024-5-19_12:1:50.7787 100330 0.0302645 | 0.0225968 -0.0201327 0.704924 | 6.71852 -0.220889 -2.01113 | 6.69592 -0.200757 -2.71605
2024-5-19_12:1:50.7877 100330 0.0297505 | 0.0226734 -0.0192616 0.625033 | 6.71916 -0.220038 -2.09113 | 6.69649 -0.200777 -2.71616
2024-5-19_12:1:50.8087 100330 0.0273981 | 0.0195657 -0.0191792 0.637392 | 6.72134 -0.220037 -2.08113 | 6.70178 -0.200858 -2.71852
2024-5-19_12:1:50.8187 100330 0.0267074 | 0.019284 -0.0184773 0.587801 | 6.72215 -0.219388 -2.13113 | 6.70286 -0.200911 -2.71893
2024-5-19_12:1:50.8297 100330 0.0256586 | 0.0188755 -0.0173804 0.508016 | 6.7228 -0.218328 -2.21113 | 6.70392 -0.200947 -2.71914
2024-5-19_12:1:50.8397 100330 0.0242773 | 0.0183419 -0.0159048 0.397753 | 6.72329 -0.216858 -2.32113 | 6.70495 -0.200953 -2.71888
2024-5-19_12:1:50.8487 100330 0.0247114 | 0.0185283 -0.0163509 0.427685 | 6.72451 -0.217313 -2.29113 | 6.70598 -0.200962 -2.71881
2024-5-19_12:1:50.8587 100330 0.0259236 | 0.0190318 -0.0176018 0.518752 | 6.72603 -0.218588 -2.20113 | 6.707 -0.200986 -2.71988
2024-5-19_12:1:50.8677 100330 0.026312 | 0.0192021 -0.0179889 0.549445 | 6.72725 -0.219039 -2.17113 | 6.70805 -0.20105 -2.72057
2024-5-19_12:1:50.8787 100330 0.0240898 | 0.0181902 -0.0157936 0.389855 | 6.72728 -0.216885 -2.33113 | 6.70909 -0.201091 -2.72098
2024-5-19_12:1:50.8877 100330 0.0241749 | 0.0184839 -0.0155811 0.339963 | 6.72806 -0.216678 -2.38113 | 6.70958 -0.201097 -2.72109
2024-5-19_12:1:50.8987 100330 0.024928 | 0.0202223 -0.0145761 0.36104 | 6.72908 -0.21669 -2.35113 | 6.70886 -0.202114 -2.71217
2024-5-19_12:1:50.9077 100330 0.0238649 | 0.019163 -0.0142236 0.330669 | 6.72998 -0.216541 -2.38113 | 6.71082 -0.202318 -2.7118
2024-5-19_12:1:50.9187 100330 0.022604 | 0.018636 -0.0127921 0.240116 | 6.73038 -0.215135 -2.47113 | 6.71175 -0.202343 -2.71124
2024-5-19_12:1:50.9277 100330 0.022824 | 0.0186964 -0.0130911 0.260138 | 6.73133 -0.215444 -2.45113 | 6.71264 -0.202353 -2.71127
2024-5-19_12:1:50.9387 100330 0.0225942 | 0.0185763 -0.0128615 0.240065 | 6.73208 -0.215208 -2.47113 | 6.7135 -0.202347 -2.71119
2024-5-19_12:1:50.9477 100330 0.0226002 | 0.018562 -0.0128927 0.240472 | 6.73293 -0.215245 -2.47113 | 6.71437 -0.202352 -2.7116
2024-5-19_12:1:50.9587 100330 0.0224301 | 0.0186039 -0.0125302 0.210881 | 6.73384 -0.214884 -2.50113 | 6.71524 -0.202354 -2.71201
2024-5-19_12:1:50.9677 100330 0.0221471 | 0.0183554 -0.0123924 0.201957 | 6.73443 -0.214777 -2.51113 | 6.71607 -0.202384 -2.71308
