QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 0
MV_SC2005AM Start

 init 

2024-5-19_11:55:54.5054 100330 0.0219533 | 0.0160927 -0.0149324 -0.201238 | 6.73459 -0.21803 -2.1527 | 6.7185 -0.203097 -1.95146
2024-5-19_11:55:54.5134 100330 0.0171252 | 0.00722776 -0.0155252 -0.203762 | 6.73645 -0.217969 -2.1627 | 6.72922 -0.202444 -1.95893
2024-5-19_11:55:54.5254 100330 0.0169842 | 0.0071499 -0.0154059 -0.223906 | 6.73805 -0.217769 -2.1827 | 6.7309 -0.202363 -1.95879
2024-5-19_11:55:54.5334 100330 0.0159803 | 0.00678688 -0.0144675 -0.303853 | 6.73934 -0.216778 -2.2627 | 6.73255 -0.20231 -1.95884
2024-5-19_11:55:54.5444 100330 0.0162508 | 0.00689606 -0.0147151 -0.293608 | 6.74109 -0.216977 -2.2527 | 6.73419 -0.202262 -1.95909
2024-5-19_11:55:54.5534 100330 0.0164146 | 0.00696158 -0.0148652 -0.293173 | 6.74279 -0.217044 -2.2527 | 6.73583 -0.202178 -1.95952
2024-5-19_11:55:54.5655 100330 0.0165713 | 0.00701994 -0.0150109 -0.292641 | 6.74449 -0.21711 -2.2527 | 6.73747 -0.202099 -1.96006
2024-5-19_11:55:54.5734 100330 0.015641 | 0.00694386 -0.0140151 -0.362108 | 6.74606 -0.216053 -2.3227 | 6.73911 -0.202038 -1.96059
2024-5-19_11:55:54.5854 100330 0.0154286 | 0.00753386 -0.0134641 -0.412032 | 6.7475 -0.21547 -2.3727 | 6.73997 -0.202006 -1.96067
2024-5-19_11:55:54.5934 100330 0.0157051 | 0.00898213 -0.012883 -0.462032 | 6.74895 -0.214889 -2.4227 | 6.73997 -0.202006 -1.96067
2024-5-19_11:55:54.6054 100330 0.0119568 | 0.00192109 -0.0118014 -0.317748 | 6.75135 -0.21678 -2.2827 | 6.74943 -0.204978 -1.96495
2024-5-19_11:55:54.6134 100330 0.010845 | 0.00171386 -0.0107087 -0.407695 | 6.75281 -0.21569 -2.3727 | 6.7511 -0.204981 -1.965
2024-5-19_11:55:54.6254 100330 0.00964713 | 0.00126314 -0.00956408 -0.508221 | 6.75401 -0.214466 -2.4727 | 6.75275 -0.204902 -1.96448
2024-5-19_11:55:54.6334 100330 0.00960941 | 0.00123857 -0.00952925 -0.528935 | 6.75561 -0.214281 -2.4927 | 6.75437 -0.204752 -1.96376
2024-5-19_11:55:54.6454 100330 0.00931234 | 0.00112344 -0.00924433 -0.569459 | 6.75711 -0.21384 -2.5327 | 6.75598 -0.204595 -1.96324
2024-5-19_11:55:54.6534 100330 0.00947434 | 0.00107506 -0.00941315 -0.590562 | 6.7587 -0.213874 -2.5527 | 6.75762 -0.204461 -1.96214
2024-5-19_11:55:54.6654 100330 0.00979762 | 0.00116096 -0.00972859 -0.581475 | 6.76044 -0.214078 -2.5427 | 6.75928 -0.204349 -1.96122
2024-5-19_11:55:54.6734 100330 0.00976133 | 0.00121952 -0.00968485 -0.582004 | 6.76215 -0.213937 -2.5427 | 6.76093 -0.204252 -1.96069
2024-5-19_11:55:54.6854 100330 0.00913199 | 0.00196351 -0.0089184 -0.652411 | 6.76371 -0.213128 -2.6127 | 6.76175 -0.204209 -1.96029
2024-5-19_11:55:54.6934 100330 0.00868761 | 0.00124609 -0.00859778 -0.668782 | 6.76535 -0.213294 -2.6227 | 6.76411 -0.204697 -1.95392
2024-5-19_11:55:54.7054 100330 0.00705492 | -0.00161515 -0.00686755 -0.71821 | 6.7666 -0.21251 -2.6727 | 6.76822 -0.205642 -1.95449
2024-5-19_11:55:54.7134 100330 0.0069062 | -0.00166517 -0.00670245 -0.758156 | 6.76809 -0.212298 -2.7127 | 6.76976 -0.205595 -1.95454
2024-5-19_11:55:54.7254 100330 0.00630817 | -0.0018023 -0.00604523 -0.818488 | 6.76949 -0.211618 -2.7727 | 6.77129 -0.205573 -1.95421
