QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:52.2124 100330 0.0216472 | 0.0211773 -0.00448597 0.172404 | 6.83009 -0.415857 12.6121 | 6.80891 -0.411371 12.4397
2024-5-19_13:43:52.2244 100330 0.0225222 | 0.0221658 -0.00399071 0.102404 | 6.83108 -0.415362 12.5421 | 6.80891 -0.411371 12.4397
2024-5-19_13:43:52.2324 100330 0.023515 | 0.0230759 -0.00452286 0.176796 | 6.83207 -0.41487 12.4721 | 6.80899 -0.410347 12.2954
2024-5-19_13:43:52.2444 100330 0.0231002 | 0.0226433 -0.00457205 0.177179 | 6.83323 -0.41461 12.4221 | 6.81058 -0.410038 12.245
2024-5-19_13:43:52.2524 100330 0.0226561 | 0.0221824 -0.00460847 0.178347 | 6.83439 -0.414353 12.3721 | 6.81221 -0.409745 12.1938
2024-5-19_13:43:52.2644 100330 0.0217724 | 0.0213671 -0.00418158 0.140402 | 6.83521 -0.413641 12.2821 | 6.81384 -0.40946 12.1417
2024-5-19_13:43:52.2724 100330 0.0209312 | 0.0205911 -0.00375828 0.102605 | 6.83602 -0.412933 12.1921 | 6.81543 -0.409175 12.0895
2024-5-19_13:43:52.2844 100330 0.0200897 | 0.0198441 -0.00313148 0.0546174 | 6.83696 -0.41207 12.0921 | 6.81712 -0.408939 12.0375
2024-5-19_13:43:52.2924 100330 0.0194437 | 0.0192298 -0.00287639 0.0361111 | 6.83816 -0.411553 12.0221 | 6.81893 -0.408677 11.986
2024-5-19_13:43:52.3044 100330 0.0186584 | 0.018437 -0.00286568 0.0167979 | 6.8392 -0.411296 11.9521 | 6.82076 -0.408431 11.9354
2024-5-19_13:43:52.3124 100330 0.0202013 | 0.0200186 -0.00271093 -0.00320207 | 6.84078 -0.411142 11.9321 | 6.82076 -0.408431 11.9354
2024-5-19_13:43:52.3224 100330 0.0213009 | 0.021176 -0.00230287 -0.0832021 | 6.84194 -0.410734 11.8521 | 6.82076 -0.408431 11.9354
2024-5-19_13:43:52.3324 100330 0.0174804 | 0.0172106 -0.00305929 -0.0514205 | 6.84262 -0.409553 11.7221 | 6.82541 -0.406494 11.7736
2024-5-19_13:43:52.3424 100330 0.0175865 | 0.017266 -0.00334269 -0.0129979 | 6.84454 -0.409688 11.7121 | 6.82728 -0.406345 11.7251
2024-5-19_13:43:52.3524 100330 0.0169332 | 0.0166906 -0.00285598 -0.0456886 | 6.84586 -0.409037 11.6321 | 6.82917 -0.406181 11.6778
