QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5205 -0.706748 17.9628
100321 7.52244 -0.618121 178.971
100322 11.5445 -0.02752 179.389
100330 7.52732 0.0835403 179.26
MV_SC2005AM Start

 init 

2024-5-19_13:33:31.905 100330 0.0294323 | 0.0208554 -0.020768 0.494561 | 6.75522 -0.303269 2.74939 | 6.73436 -0.282501 2.25483
2024-5-19_13:33:31.917 100330 0.0288681 | 0.0208861 -0.0199284 0.434561 | 6.75525 -0.302429 2.68939 | 6.73436 -0.282501 2.25483
2024-5-19_13:33:31.925 100330 0.0289053 | 0.0209134 -0.0199536 0.436253 | 6.75567 -0.302409 2.68939 | 6.73476 -0.282456 2.25314
2024-5-19_13:33:31.937 100330 0.0292003 | 0.021338 -0.0199336 0.436253 | 6.75609 -0.30239 2.68939 | 6.73476 -0.282456 2.25314
2024-5-19_13:33:31.945 100330 0.0297933 | 0.0218383 -0.0202664 0.446253 | 6.7566 -0.302722 2.69939 | 6.73476 -0.282456 2.25314
2024-5-19_13:33:31.956 100330 0.0248923 | 0.0159876 -0.0190794 0.418751 | 6.75676 -0.302157 2.65939 | 6.74077 -0.283078 2.24064
2024-5-19_13:33:31.965 100330 0.0253251 | 0.0161648 -0.0194951 0.449196 | 6.75717 -0.302556 2.68939 | 6.741 -0.283061 2.2402
2024-5-19_13:33:31.975 100330 0.0263901 | 0.0166365 -0.0204857 0.520218 | 6.75784 -0.303499 2.75939 | 6.7412 -0.283014 2.23918
2024-5-19_13:33:31.986 100330 0.0258785 | 0.0164381 -0.0199872 0.482206 | 6.75779 -0.302945 2.71939 | 6.74135 -0.282957 2.23719
2024-5-19_13:33:32.006 100330 0.0251579 | 0.0160329 -0.0193873 0.434441 | 6.75767 -0.302254 2.66939 | 6.74164 -0.282867 2.23495
2024-5-19_13:33:32.017 100330 0.0255791 | 0.0163763 -0.0196496 0.454441 | 6.75802 -0.302516 2.68939 | 6.74164 -0.282867 2.23495
2024-5-19_13:33:32.027 100330 0.0231245 | 0.0132793 -0.0189315 0.438865 | 6.7581 -0.302234 2.66939 | 6.74482 -0.283303 2.23053
2024-5-19_13:33:32.036 100330 0.0235565 | 0.0134312 -0.0193523 0.468829 | 6.75829 -0.302642 2.69939 | 6.74486 -0.28329 2.23057
2024-5-19_13:33:32.047 100330 0.0237032 | 0.0136173 -0.0194013 0.46889 | 6.75851 -0.302632 2.69939 | 6.74489 -0.283231 2.2305
2024-5-19_13:33:32.055 100330 0.0238585 | 0.0136142 -0.0195928 0.47895 | 6.75857 -0.302768 2.70939 | 6.74496 -0.283175 2.23044
2024-5-19_13:33:32.067 100330 0.0231412 | 0.0132191 -0.018994 0.429005 | 6.75824 -0.302088 2.65939 | 6.74502 -0.283094 2.23039
